m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,1.9095647993081502,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.2,2.8101304969712415,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.3,3.699706179357965,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.4,4.575557117651626,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.5,5.433780830483028,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.6,6.268530136416277,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.7,7.07045861030067,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.8,7.823214990557688,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.9,8.68108832519859,2.0250405006075078e-10,1.0,,1.0,0.0
0.2,0.2,1.8101304969712413,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.3,2.1997061793579644,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.4,2.575557117651626,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.5,2.9337808304830277,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.6,3.268530136416277,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.7,3.575836803801503,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.8,3.9704599551232875,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.9,5.230080940978918,1.8000360005400076e-10,1.0,,1.0,0.0
0.3,0.3,1.699706179357965,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.4,1.9088904509849591,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.5,2.101049174760391,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.6,2.2850424732827324,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.7,2.4985990964541287,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.8,2.8771120023427614,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.9,4.282067215305558,1.5750315004725067e-10,1.0,,1.0,0.0
0.4,0.4,1.5755571176516256,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.5,1.6946183296263162,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.6,1.8136258392169444,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.7,1.9790049893762511,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.8,2.3272746158823994,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.9,3.67439041890566,1.3500270004050055e-10,1.0,,1.0,0.0
0.5,0.5,1.433780830483027,1.1250225003375047e-10,1.0,,1.0,0.0
0.5,0.6,1.5124860248224745,1.1250225003375047e-10,1.0,,1.0,0.0
0.5,0.7,1.6326197279579056,1.1250225003375047e-10,1.0,,1.0,0.0
0.5,0.8,1.9294518950676753,1.1250225003375047e-10,1.0,,1.0,0.0
0.5,0.9,3.07045861030067,1.1250225003375047e-10,1.0,,1.0,0.0
0.6,0.6,1.268530136416278,9.000180002700038e-11,1.0,,1.0,0.0
0.6,0.7,1.3448557771330518,9.000180002700038e-11,1.0,,1.0,0.0
0.6,0.8,1.5704586103006695,9.000180002700038e-11,1.0,,1.0,0.0
0.6,0.9,2.454458592793241,9.000180002700038e-11,1.0,,1.0,0.0
0.7,0.7,1.0704586103006692,6.750135002025028e-11,1.0,,1.0,0.0
0.7,0.8,1.204458592793241,6.750135002025028e-11,1.0,,1.0,0.0
0.7,0.9,1.823214990557691,6.750135002025028e-11,1.0,,1.0,0.0
0.8,0.8,0.823214990557691,4.5000900013500165e-11,1.0,1.0,1.0,0.0
0.8,0.9,1.1721065788577625,4.5000900013500165e-11,1.0,,1.0,0.0
0.9,0.9,0.4940287080441789,2.2500450006750082e-11,1.0,1.0,1.0,0.0
0.01,0.01,1.9913157536841377,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.02,2.982555430077965,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.03,3.9737176844607256,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.04,4.964801136140165,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.05,5.955804367157967,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.06,6.946725920936476,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.07,7.937564300863371,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.08,8.928317968810918,2.2275445506682583e-10,1.0,,1.0,0.0
0.01,0.09,9.918985343586185,2.2275445506682583e-10,1.0,,1.0,0.0
0.02,0.02,1.9825554300779649,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.03,2.473717684460726,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.04,2.9648011361401645,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.05,3.455804367157969,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.06,3.9467259209364793,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.07,4.437564300863365,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.08,4.928317968810917,2.2050441006615078e-10,1.0,,1.0,0.0
0.02,0.09,5.418985343586186,2.2050441006615078e-10,1.0,,1.0,0.0
0.03,0.03,1.9737176844607265,2.182543650654759e-10,1.0,,1.0,0.0
0.03,0.04,2.298134469473497,2.182543650654759e-10,1.0,,1.0,0.0
0.03,0.05,2.622471033824637,2.182543650654759e-10,1.0,,1.0,0.0
0.03,0.06,2.946725920936479,2.182543650654759e-10,1.0,,1.0,0.0
0.03,0.07,3.2708976341966998,2.182543650654759e-10,1.0,,1.0,0.0
0.03,0.08,3.5949846354775845,2.182543650654759e-10,1.0,,1.0,0.0
0.03,0.09,3.918985343586184,2.182543650654759e-10,1.0,,1.0,0.0
0.04,0.04,1.964801136140164,2.1600432006480083e-10,1.0,,1.0,0.0
0.04,0.05,2.20580436715797,2.1600432006480083e-10,1.0,,1.0,0.0
0.04,0.06,2.446725920936479,2.1600432006480083e-10,1.0,,1.0,0.0
0.04,0.07,2.6875643008633654,2.1600432006480083e-10,1.0,,1.0,0.0
0.04,0.08,2.928317968810916,2.1600432006480083e-10,1.0,,1.0,0.0
0.04,0.09,3.1689853435861837,2.1600432006480083e-10,1.0,,1.0,0.0
0.05,0.05,1.95580436715797,2.137542750641258e-10,1.0,,1.0,0.0
0.05,0.06,2.146725920936478,2.137542750641258e-10,1.0,,1.0,0.0
0.05,0.07,2.337564300863367,2.137542750641258e-10,1.0,,1.0,0.0
0.05,0.08,2.5283179688109167,2.137542750641258e-10,1.0,,1.0,0.0
0.05,0.09,2.718985343586183,2.137542750641258e-10,1.0,,1.0,0.0
0.06,0.06,1.9467259209364776,2.1150423006345087e-10,1.0,,1.0,0.0
0.06,0.07,2.104230967530033,2.1150423006345087e-10,1.0,,1.0,0.0
0.06,0.08,2.261651302144251,2.1150423006345087e-10,1.0,,1.0,0.0
0.06,0.09,2.4189853435861832,2.1150423006345087e-10,1.0,,1.0,0.0
0.07,0.07,1.9375643008633656,2.0925418506277583e-10,1.0,,1.0,0.0
0.07,0.08,2.071175111668061,2.0925418506277583e-10,1.0,,1.0,0.0
0.07,0.09,2.20469962930047,2.0925418506277583e-10,1.0,,1.0,0.0
0.08,0.08,1.9283179688109167,2.0700414006210092e-10,1.0,,1.0,0.0
0.08,0.09,2.0439853435861832,2.0700414006210092e-10,1.0,,1.0,0.0
0.09,0.09,1.918985343586183,2.0475409506142587e-10,1.0,,1.0,0.0
0.11,0.11,1.9000546637077282,2.0025400506007579e-10,1.0,,1.0,0.0
0.12,0.12,1.8904532163461254,1.9800396005940085e-10,1.0,,1.0,0.0
0.13,0.13,1.8807586867468644,1.9575391505872575e-10,1.0,,1.0,0.0
0.14,0.14,1.870969252436353,1.935038700580507e-10,1.0,,1.0,0.0
0.15,0.15,1.8610830368876068,1.9125382505737582e-10,1.0,,1.0,0.0
0.16,0.16,1.8510981073612989,1.8900378005670073e-10,1.0,,1.0,0.0
0.17,0.17,1.8410124726379327,1.8675373505602566e-10,1.0,,1.0,0.0
0.18,0.18,1.8308240806344924,1.8450369005535077e-10,1.0,,1.0,0.0
0.19,0.19,1.820530815898414,1.822536450546757e-10,1.0,,1.0,0.0
0.21,0.21,1.7996208736137405,1.7775355505332575e-10,1.0,,1.0,0.0
0.22,0.22,1.7889996238836343,1.755035100526507e-10,1.0,,1.0,0.0
0.23,0.23,1.7782643510564888,1.7325346505197566e-10,1.0,,1.0,0.0
0.24,0.24,1.7674125803795062,1.7100342005130077e-10,1.0,,1.0,0.0
0.25,0.25,1.7564417556472545,1.6875337505062563e-10,1.0,,1.0,0.0
0.26,0.26,1.7453492355874618,1.6650333004995064e-10,1.0,,1.0,0.0
0.27,0.27,1.7341322900441,1.6425328504927567e-10,1.0,,1.0,0.0
0.28,0.28,1.722788095943956,1.6200324004860063e-10,1.0,,1.0,0.0
0.29,0.29,1.711313733031793,1.597531950479256e-10,1.0,,1.0,0.0
0.31,0.31,1.6879623065010638,1.5525310504657563e-10,1.0,,1.0,0.0
0.32,0.32,1.6760788745066837,1.530030600459006e-10,1.0,,1.0,0.0
0.33,0.33,1.6640525265218362,1.5075301504522562e-10,1.0,,1.0,0.0
0.34,0.34,1.6518797831027674,1.4850297004455058e-10,1.0,,1.0,0.0
0.35,0.35,1.639557036172042,1.4625292504387556e-10,1.0,,1.0,0.0
0.36,0.36,1.6270805425986328,1.440028800432006e-10,1.0,,1.0,0.0
0.37,0.37,1.6144464173724318,1.4175283504252555e-10,1.0,,1.0,0.0
0.38,0.38,1.6016506263420462,1.3950279004185054e-10,1.0,,1.0,0.0
0.39,0.39,1.5886889784819094,1.372527450411756e-10,1.0,,1.0,0.0
0.41,0.41,1.5622505138069964,1.3275265503982554e-10,1.0,,1.0,0.0
0.42,0.42,1.5487644536183611,1.3050261003915055e-10,1.0,,1.0,0.0
0.43,0.43,1.5350940304476355,1.282525650384755e-10,1.0,,1.0,0.0
0.44,0.44,1.5212341336307065,1.260025200378005e-10,1.0,,1.0,0.0
0.45,0.45,1.50717943700661,1.2375247503712552e-10,1.0,,1.0,0.0
0.46,0.46,1.4929243866290494,1.2150243003645048e-10,1.0,,1.0,0.0
0.47,0.47,1.478463187589315,1.1925238503577549e-10,1.0,,1.0,0.0
0.48,0.48,1.4637897898723569,1.1700234003510052e-10,1.0,,1.0,0.0
0.49,0.49,1.4488978731596076,1.1475229503442544e-10,1.0,,1.0,0.0
0.51,0.51,1.4184317506245478,1.1025220503307539e-10,1.0,,1.0,0.0
0.52,0.52,1.4028433991435674,1.0800216003240041e-10,1.0,,1.0,0.0
0.53,0.53,1.3870081979021314,1.0575211503172544e-10,1.0,,1.0,0.0
0.54,0.54,1.370918202942736,1.0350207003105039e-10,1.0,,1.0,0.0
0.55,0.55,1.354565080557118,1.0125202503037539e-10,1.0,,1.0,0.0
0.56,0.56,1.337940081365533,9.900198002970042e-11,1.0,,1.0,0.0
0.57,0.57,1.3210340122047022,9.675193502902541e-11,1.0,,1.0,0.0
0.58,0.58,1.3038372055982888,9.450189002835036e-11,1.0,,1.0,0.0
0.59,0.59,1.286339486556065,9.225184502767539e-11,1.0,,1.0,0.0
0.61,0.61,1.2503978534094944,8.775175502632535e-11,1.0,,1.0,0.0
0.62,0.62,1.231930709580581,8.550171002565039e-11,1.0,,1.0,0.0
0.63,0.63,1.2131161036576448,8.325166502497532e-11,1.0,,1.0,0.0
0.64,0.64,1.1939407094015329,8.100162002430031e-11,1.0,,1.0,0.0
0.65,0.65,1.1743904189056604,7.875157502362534e-11,1.0,,1.0,0.0
0.66,0.66,1.1544502802419097,7.65015300229503e-11,1.0,,1.0,0.0
0.67,0.67,1.1341044287622568,7.425148502227529e-11,1.0,,1.0,0.0
0.68,0.68,1.1133360112654138,7.200144002160027e-11,1.0,,1.0,0.0
0.69,0.69,1.092127102120336,6.97513950209253e-11,1.0,,1.0,0.0
0.71,0.71,1.0483101761220233,6.525130501957527e-11,1.0,,1.0,0.0
0.72,0.72,1.0256600562823308,6.300126001890026e-11,1.0,,1.0,0.0
0.73,0.73,1.0024849955784345,6.075121501822524e-11,1.0,,1.0,0.0
0.74,0.74,0.9787600834017757,5.850117001755026e-11,1.0,1.0,1.0,0.0
