m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.00013764474202630002,2.8951271999099935e-05,-0.0001962521297179
0.1,0.2,-0.00015475669112989998,,0.0008733585891380999
0.1,0.3,-0.00014411645535000002,,0.0007985053707195
0.1,0.4,-0.00016008636590569998,,0.0003956759509192
0.1,0.5,-0.0002366133149547,,0.0002715739529123999
0.1,0.6,-0.00023789464459709998,,-5.529178924459997e-05
0.1,0.7,-0.0002912313278485999,,-0.0003018540472373999
0.1,0.8,-0.00024747707448199996,,-0.0003734678245745
0.1,0.9,-0.00035404714652120003,,-0.00044275307622340004
0.2,0.2,-0.00026716146657610005,4.0978417988000006e-05,-0.00020125673555289997
0.2,0.3,-0.0003882047553796,-0.0034694593926244,9.643305941599897e-06
0.2,0.4,-0.0004054718299591999,,0.0005575513582916
0.2,0.5,-0.0004602109114294001,,0.0004706432602185999
0.2,0.6,-0.0005730201281628001,,0.00030096928956809986
0.2,0.7,-0.0007002826544894,,0.00025180716637840015
0.2,0.8,-0.000758431997481,,-6.3744652172000125e-06
0.2,0.9,-0.0008479362610057,,-0.0003211322143277999
0.3,0.3,-0.0008014738158581001,1.9804063108899944e-05,-0.0005555436474432
0.3,0.4,-0.0008666786793539,-0.0008403520271032,-0.0009150155634592
0.3,0.5,-0.0010780133705514,-0.0139591120414462,-0.000661077993944
0.3,0.6,-0.0012866411403574,,-0.00045680015716790005
0.3,0.7,-0.0014048993868616003,,-0.0004360102291835002
0.3,0.8,-0.0016548249836124003,,-0.0007260314846696003
0.3,0.9,-0.0019328928036153002,,-0.0012193891633762001
0.4,0.4,-0.0019027033857755998,1.3975826381600032e-05,-0.0012501887457163998
0.4,0.5,-0.0021503135755114,-0.000612753405811,-0.00205772732277
0.4,0.6,-0.0023717578055841002,-0.002766142812501,-0.0024498841008026
0.4,0.7,-0.0028251188652527,-0.0338318796490661,-0.0025079210246222
0.4,0.8,-0.0030960479002433,,-0.0020914855663054
0.4,0.9,-0.0039809375798486,,-0.0030801457707840003
0.5,0.5,-0.0046330580956752,-0.00023686849521360005,-0.0030798654623571
0.5,0.6,-0.0053153444485064,-0.0007596118481797001,-0.0048813028912505
0.5,0.7,-0.0062463076023271,-0.0028596037702312,-0.0062688531951786
0.5,0.8,-0.0083822673190116,-0.1074211173530062,-0.008016248697286501
0.5,0.9,-0.012827670849999999,,-0.0117945974437174
