m,M,epsilon_of_M,NICV
0.1,0.1,0.9347016640011662,0.3989659519545557
0.1,0.1,0.9347016640011662,0.49389359757695467
0.1,0.1,0.9347016640011662,0.42248449459944826
0.1,0.1,0.9347016640011662,0.40302274213555084
0.1,0.1,0.9347016640011662,0.3951424851641011
0.1,0.1,0.9347016640011662,0.4570392751240438
0.1,0.1,0.9347016640011662,0.4221044139431179
0.1,0.1,0.9347016640011662,0.4021929852885248
0.1,0.1,0.9347016640011662,0.4243603897285045
0.1,0.1,0.9347016640011662,0.4169763261747934
0.1,0.1,0.9347016640011662,0.4064242437064315
0.1,0.1,0.9347016640011662,0.4097249321021396
0.1,0.1,0.9347016640011662,0.3953495075789739
0.1,0.1,0.9347016640011662,0.4085168659536328
0.1,0.1,0.9347016640011662,0.4044378648030039
0.1,0.1,0.9347016640011662,0.3890766334727972
0.1,0.1,0.9347016640011662,0.4055740691693676
0.1,0.1,0.9347016640011662,0.39897781731264004
0.1,0.1,0.9347016640011662,0.4121580980341804
0.1,0.1,0.9347016640011662,0.3917975633841946
0.1,0.1,0.9347016640011662,0.4343831718660443
0.1,0.1,0.9347016640011662,0.39529244882631526
0.1,0.1,0.9347016640011662,0.3828824787026714
0.1,0.1,0.9347016640011662,0.4011583313468102
0.1,0.1,0.9347016640011662,0.5039398737943005
0.1,0.1,0.9347016640011662,0.4273687336766164
0.1,0.1,0.9347016640011662,0.3928634055980754
0.1,0.1,0.9347016640011662,0.40548373901653967
0.1,0.1,0.9347016640011662,0.3810974451448101
0.1,0.1,0.9347016640011662,0.4218284344601605
0.1,0.1,0.9347016640011662,0.394855985164749
0.1,0.1,0.9347016640011662,0.40095308696421655
0.1,0.1,0.9347016640011662,0.4025183115699206
0.1,0.1,0.9347016640011662,0.3895681067396197
0.1,0.1,0.9347016640011662,0.4132228462483839
0.1,0.1,0.9347016640011662,0.399274081846473
0.1,0.1,0.9347016640011662,0.4099937392614321
0.1,0.1,0.9347016640011662,0.40436384533348035
0.1,0.1,0.9347016640011662,0.3886370342823708
0.1,0.1,0.9347016640011662,0.46274313940127293
0.1,0.1,0.9347016640011662,0.3961697581966573
0.1,0.1,0.9347016640011662,0.4000837335198626
0.1,0.1,0.9347016640011662,0.43869423750660824
0.1,0.1,0.9347016640011662,0.4112327996154751
0.1,0.1,0.9347016640011662,0.4118141114993368
0.1,0.1,0.9347016640011662,0.447185722932322
0.1,0.1,0.9347016640011662,0.3894661208249706
0.1,0.1,0.9347016640011662,0.415720487101836
0.1,0.1,0.9347016640011662,0.384128812632686
0.1,0.1,0.9347016640011662,0.4638122113840761
0.1,0.1,0.9347016640011662,0.4312381731413433
0.1,0.1,0.9347016640011662,0.401784950059741
0.1,0.1,0.9347016640011662,0.4589372743555284
0.1,0.1,0.9347016640011662,0.40555193380530646
0.1,0.1,0.9347016640011662,0.39886568662889677
0.1,0.1,0.9347016640011662,0.39364423940528775
0.1,0.1,0.9347016640011662,0.39797593175592494
0.1,0.1,0.9347016640011662,0.39575988278214874
0.1,0.1,0.9347016640011662,0.42344976258942135
0.1,0.1,0.9347016640011662,0.4130691993375542
0.1,0.1,0.9347016640011662,0.40863576464627727
0.1,0.1,0.9347016640011662,0.4018968223367457
0.1,0.1,0.9347016640011662,0.41287056917124915
0.1,0.1,0.9347016640011662,0.35553647034241287
0.1,0.1,0.9347016640011662,0.3946670219596136
0.1,0.1,0.9347016640011662,0.40252530821405125
0.1,0.1,0.9347016640011662,0.407901890208961
0.1,0.1,0.9347016640011662,0.4193953350771275
0.1,0.1,0.9347016640011662,0.417334400837505
0.1,0.1,0.9347016640011662,0.39248537464946615
0.1,0.1,0.9347016640011662,0.35567075933475517
0.1,0.1,0.9347016640011662,0.4004371211624877
0.1,0.1,0.9347016640011662,0.41386336974142324
0.1,0.1,0.9347016640011662,0.41392276572414316
0.1,0.1,0.9347016640011662,0.3976559785417851
0.1,0.1,0.9347016640011662,0.4117228141258731
0.1,0.1,0.9347016640011662,0.41002932697033456
0.1,0.1,0.9347016640011662,0.38479202096571163
0.1,0.1,0.9347016640011662,0.4102847531641316
0.1,0.1,0.9347016640011662,0.39263872192486027
0.1,0.1,0.9347016640011662,0.39727826676346095
0.1,0.1,0.9347016640011662,0.40078017082074013
0.1,0.1,0.9347016640011662,0.44989309883005013
0.1,0.1,0.9347016640011662,0.4294067607515768
0.1,0.1,0.9347016640011662,0.38762767123457115
0.1,0.1,0.9347016640011662,0.4088490875766456
0.1,0.1,0.9347016640011662,0.399485743509318
0.1,0.1,0.9347016640011662,0.39793294076029573
0.1,0.1,0.9347016640011662,0.3939112005558818
0.1,0.1,0.9347016640011662,0.4378694640542286
0.1,0.1,0.9347016640011662,0.391473353652772
0.1,0.1,0.9347016640011662,0.4351470886157661
0.1,0.1,0.9347016640011662,0.398603379482982
0.1,0.1,0.9347016640011662,0.422523360313493
0.1,0.1,0.9347016640011662,0.41352991670931194
0.1,0.1,0.9347016640011662,0.4009869137884557
0.1,0.1,0.9347016640011662,0.4667265036303401
0.1,0.1,0.9347016640011662,0.4164189781773402
0.1,0.1,0.9347016640011662,0.41731551558175667
0.1,0.1,0.9347016640011662,0.4152608662989833
0.1,0.1,0.9347016640011662,0.3857865423095466
0.1,0.1,0.9347016640011662,0.39821020633870363
0.1,0.1,0.9347016640011662,0.3861830911864614
0.1,0.1,0.9347016640011662,0.43615519398455765
0.1,0.1,0.9347016640011662,0.40848197542461173
0.1,0.1,0.9347016640011662,0.39203930701180095
0.1,0.1,0.9347016640011662,0.43153806298131975
0.1,0.1,0.9347016640011662,0.4054016770886704
0.1,0.1,0.9347016640011662,0.3984844689833236
0.1,0.1,0.9347016640011662,0.4328402092266049
0.1,0.1,0.9347016640011662,0.39987011125672156
0.1,0.1,0.9347016640011662,0.4198975467164971
0.1,0.1,0.9347016640011662,0.4111898212718807
0.1,0.1,0.9347016640011662,0.4053292249617854
0.1,0.1,0.9347016640011662,0.41095837938151486
0.1,0.1,0.9347016640011662,0.3740665006331821
0.1,0.1,0.9347016640011662,0.3976916081914319
0.1,0.1,0.9347016640011662,0.41834752053993896
0.1,0.1,0.9347016640011662,0.4181621206946092
0.1,0.1,0.9347016640011662,0.5036242856465392
0.1,0.1,0.9347016640011662,0.35957169367878505
0.1,0.1,0.9347016640011662,0.4038992494359213
0.1,0.1,0.9347016640011662,0.39242682887446484
0.1,0.1,0.9347016640011662,0.3961498445148029
0.1,0.1,0.9347016640011662,0.39380201309102214
0.1,0.1,0.9347016640011662,0.4042372542930582
0.1,0.1,0.9347016640011662,0.41005600063996966
0.1,0.1,0.9347016640011662,0.48429341874890897
0.1,0.1,0.9347016640011662,0.3922506271478054
0.1,0.1,0.9347016640011662,0.3840179083505168
0.1,0.1,0.9347016640011662,0.37302747138452585
0.1,0.1,0.9347016640011662,0.4405151615908647
0.1,0.1,0.9347016640011662,0.40094137628479004
