m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.004833649877478308,-0.0001862768331934439,0.0006199597723242078
0.1,0.2,-0.004455506980747925,,-0.05908797991144693
0.1,0.3,-0.0034448563730720694,,-0.09357240359784968
0.1,0.4,-0.0022539575075293805,,-0.11459928035748657
0.1,0.5,-0.0007978805798877775,,-0.1280568181443862
0.1,0.6,-0.00027123864056366465,,-0.13938944177204926
0.1,0.7,0.0017048318491347247,,-0.14612673440138518
0.1,0.8,0.0033474104371823965,,-0.1535257860540537
0.1,0.9,0.00547966948526829,,-0.15611994724687353
0.2,0.2,-0.012211212931776405,-0.0033247406380685907,-0.0025126236888466935
0.2,0.3,-0.01089141589196968,-0.0490401607542964,-0.028679458746348585
0.2,0.4,-0.01099672966570392,,-0.055137595833238406
0.2,0.5,-0.008689791503908528,,-0.07733681036640683
0.2,0.6,-0.008006255327244804,,-0.09239127192268065
0.2,0.7,-0.006798055683862103,,-0.10065413183738803
0.2,0.8,-0.004897611154075776,,-0.1080842901975454
0.2,0.9,-0.0033745218325508253,,-0.1280443153704679
0.3,0.3,-0.021037572101690716,-0.007284913464276288,-0.005505932856302409
0.3,0.4,-0.019366147825989832,-0.02280668795119528,-0.02059697889054035
0.3,0.5,-0.019112803963052816,-0.0946941572277315,-0.0370745156640338
0.3,0.6,-0.019232698283399685,,-0.053317305378745294
0.3,0.7,-0.018097955501654495,,-0.06872776939849456
0.3,0.8,-0.01733253262693757,,-0.08874343110535882
0.3,0.9,-0.01589859147253403,,-0.1241216798406456
0.4,0.4,-0.03483880226126579,-0.010398805699728508,-0.011961303010787516
0.4,0.5,-0.034240456071258196,-0.018652402149968217,-0.024070156671038512
0.4,0.6,-0.03353379626961178,-0.03957053342122885,-0.0345450914375402
0.4,0.7,-0.03242494470864721,-0.1510697905574946,-0.0471336102629874
0.4,0.8,-0.03323374242667826,,-0.07445151150025558
0.4,0.9,-0.034758472484219205,,-0.1290447920476131
0.5,0.5,-0.05776747864539972,-0.01584977878050242,-0.022267319159432697
0.5,0.6,-0.0578506981101114,-0.020886912819553904,-0.0391295947899703
0.5,0.7,-0.0595518708792096,-0.03800465002291681,-0.05238297998658159
0.5,0.8,-0.057564649665327594,-0.2682474761212565,-0.07257319896822817
0.5,0.9,-0.06631493959200863,,-0.15144377990343233
0.6,0.6,-0.10278156059361548,-0.024888147897545287,-0.05443855679823589
0.6,0.7,-0.1030866466481839,-0.10662121372896771,-0.07607335894325579
0.6,0.8,-0.11284673528624833,-0.0785626174276216,-0.10886729148562724
0.6,0.9,-0.1161531332783593,,-0.1735614003787172
0.7,0.7,-0.18121038793751348,-0.04182435831458231,-0.09361736696279338
0.7,0.8,-0.20310247691865407,-0.05853643265382469,-0.1726764491936792
0.7,0.9,-0.2252099375399773,,-0.24790056362123802
0.8,0.8,-0.3991998006099075,-0.07334139775948828,-0.21640642573534186
0.8,0.9,-0.4630381609264914,-0.1684443533146427,-0.4457596987881729
0.9,0.9,-1.1726161931851635,-0.2021746665474955,-0.613262226531139
0.01,0.01,-0.0013450944321627967,0.0013817090906554919,-0.0025458592893083942
0.02,0.02,-0.0024840644431559644,0.0012735370848009353,-0.0029957957122032086
0.03,0.03,-0.0027997237108838835,-0.0006157370380474037,-0.0032381816932939844
0.04,0.04,-0.0023445362468337283,0.0001249827253455016,-0.002451820313964015
0.05,0.05,-0.0032842149183545666,-0.00036980959795157586,-0.0034300285201325775
0.06,0.06,-0.004579201919909126,-0.0006035145276271359,-0.0036797905432925937
0.07,0.07,-0.004748827814425816,0.0012080594236832942,-0.0041268483384397925
0.08,0.08,-0.005742366888963568,0.0001311951857403404,-0.004506744426675702
0.09,0.09,-0.006155109653937785,-0.000984834536081003,-0.004296827285682481
0.11,0.11,-0.006895536992902684,-0.0023151400534414668,-0.00440442806849739
0.12,0.12,-0.008059109835222289,-0.0015224148654038872,-0.00413333417001549
0.13,0.13,-0.008781437438967199,-0.001408189253338632,-0.00499973741332338
0.14,0.14,-0.008726744645443874,-0.0020155722687213995,-0.004292964360423757
0.15,0.15,-0.009516249268649413,-0.002808931776413226,-0.00502451905289969
0.16,0.16,-0.010338993630278903,-0.003437147435909671,-0.00565421692218232
0.17,0.17,-0.011103656107257276,-0.0019942938767670837,-0.005922709293259998
0.18,0.18,-0.011943361148028686,-0.002725840776106603,-0.006069953709045894
0.19,0.19,-0.012349082026709202,-0.001640049003921118,-0.006011987720780099
0.21,0.21,-0.013316755950675607,-0.004627619993075649,-0.006424281194173376
0.22,0.22,-0.01473440174415741,-0.004235129459906617,-0.006309697487448307
0.23,0.23,-0.01785563035675819,-0.006036901264408867,-0.008656019513096525
0.24,0.24,-0.017439578673285883,-0.005054031184131225,-0.008305278214257195
0.25,0.25,-0.018602955929299114,-0.006464283931556403,-0.009454365431859513
0.26,0.26,-0.017486099272644717,-0.007401551510175297,-0.009360037481571604
0.27,0.27,-0.01850893057872882,-0.004282803009190095,-0.009276438567922318
0.28,0.28,-0.01899895184723127,-0.0062964017687293095,-0.0088997914024182
0.29,0.29,-0.019885805530001077,-0.0067171606717489896,-0.009214968726224515
0.31,0.31,-0.022375487039444975,-0.009405538586353956,-0.010807023905345825
0.32,0.32,-0.022695967996688826,-0.008346985498831228,-0.010926802502017607
0.33,0.33,-0.024562195810051424,-0.00933170352136009,-0.011707836504198044
0.34,0.34,-0.026481230133476974,-0.009381302642465505,-0.013797593735953462
0.35,0.35,-0.0276764108689867,-0.01020067415061171,-0.012770000845195306
