m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.0132984512263975,0.005951686974966591,0.0631004903163886
0.1,0.2,-0.017970125722683403,,-0.088601888436664
0.1,0.3,-0.02353042901709869,,-0.093818809811533
0.1,0.4,-0.029589080682011812,,-0.1012800181214661
0.1,0.5,-0.0326984979589767,,-0.1052367933168881
0.1,0.6,-0.044944826864861995,,-0.1140469074400453
0.1,0.7,-0.0464598720135308,,-0.11668390298102199
0.1,0.8,-0.054882523936219896,,-0.1262372640876572
0.1,0.9,-0.0507031280171434,,-0.12421791287894439
0.2,0.2,-0.0531257301746033,-0.0268363354110136,0.0597031208086852
0.2,0.3,-0.05756781240397649,,-0.12612921267136598
0.2,0.4,-0.059840515284782805,,-0.1323742186229184
0.2,0.5,-0.06980644351836329,,-0.1397750904753504
0.2,0.6,-0.08695125500258849,,-0.1580852229490938
0.2,0.7,-0.0644037180568176,,-0.1364587684109198
0.2,0.8,-0.097635724187355,,-0.1637775067583139
0.2,0.9,-0.10351802834944811,,-0.1760875742315706
0.3,0.3,-0.09603136562084469,-0.0416143072000725,0.1053934282015907
0.3,0.4,-0.1062493083721971,,-0.1726641822488579
0.3,0.5,-0.0956525025234973,,-0.1658832704996792
0.3,0.6,-0.10612607750275689,,-0.1768309721887953
0.3,0.7,-0.1727995856533956,,-0.2428825771783881
0.3,0.8,-0.2011114159049059,,-0.2730821351556646
0.3,0.9,-0.26644200131916596,,-0.3384883969464801
0.4,0.4,-0.2692117137540605,-0.0150082503618795,0.18185692553808636
0.4,0.5,-0.2869669172823802,,-0.3449595070793233
0.4,0.6,-0.323799389851834,,-0.3935487666579321
0.4,0.7,-0.38519267967636533,,-0.45835706304436424
0.4,0.8,-0.5129536207212169,,-0.5807169343823585
0.4,0.9,-0.4968238763622517,,-0.567005508603021
0.5,0.5,-0.5717153368303856,-0.047722521814486704,-0.049411660550741976
0.5,0.6,-0.5673582014872945,-1.712447712774269,-0.6094745866685082
0.5,0.7,-0.6483624917249602,,-0.7168656571940276
0.5,0.8,-0.7182717062766399,,-0.7873053663444071
0.5,0.9,-0.7743828401123712,,-0.8339630740647264
0.6,0.6,-0.9264008135543486,-0.0476272525470346,-0.11219158619470215
0.6,0.7,-0.9788552971190044,,-1.0153449595645914
0.6,0.8,-1.0172487567482664,,-1.077058223584683
0.6,0.9,-0.9991899064166027,,-1.058657502351481
0.7,0.7,-1.0643889103160833,-0.06541525037657321,-0.13676877643069585
0.7,0.8,-1.4363105300599397,,-1.4855275356269524
0.7,0.9,-1.4477784553595927,,-1.5110226158699245
0.8,0.8,-1.477437640944799,-0.1395306625866464,0.27234920135690066
0.8,0.9,-1.4807589525089326,,-1.5366409970290822
0.9,0.9,-1.680321800950898,-0.43794850724574874,0.1861178911603638
0.01,0.01,-0.02192026347828009,-0.0038478236195478993,-0.004468010734469591
0.02,0.02,-0.018619981812311205,0.004544503762375501,0.03959243298623899
0.03,0.03,-0.028124081263643796,-0.0055577925440418036,0.036377077532493
0.04,0.04,-0.028375971134260894,-0.0043117595127488,0.036889834609989014
0.05,0.05,-0.030720508833395804,-0.0026070496820218003,0.0366412638253759
0.06,0.06,-0.033041003378728305,-0.0019470464913276045,0.042794682564501085
0.07,0.07,-0.021686426297572302,-0.0035834029370834034,0.056762736775871195
0.08,0.08,-0.04021948743164779,-0.0084812493073693,0.029188589068372392
0.09,0.09,-0.0363637894885748,-0.0038159375722724015,0.04645257420908469
0.11,0.11,-0.048119106003352695,-0.009341416377757907,0.02325389559408131
0.12,0.12,-0.0340795578588413,-0.006009537488592495,0.06136464791322699
0.13,0.13,-0.046826717756459704,0.0003809379020604034,0.04867348655769138
0.14,0.14,-0.0508414446426609,-0.009285018102996999,0.051960037614802806
0.15,0.15,-0.0525670762254475,-0.007350986463978498,0.0419598457883326
0.16,0.16,-0.056005480508223,-0.005503672576628607,0.050015831818734896
0.17,0.17,-0.03535664960972719,-0.024194722638238297,0.06706689203736341
0.18,0.18,-0.059975994182316694,-0.0004415828070220007,0.05013026905961229
0.19,0.19,-0.0627462476883487,-0.007275386556834504,0.0368536080155447
0.21,0.21,-0.0608844394177394,-0.006227119631700695,0.0571339880292282
0.22,0.22,-0.06478471309147782,-0.0029681936350056046,0.045655493948138504
0.23,0.23,-0.0673347110987779,-0.004013692333783604,0.06807872906308002
0.24,0.24,-0.0692754301352119,-0.009737297235942896,0.0741675284554349
0.25,0.25,-0.07597369377412319,-0.012844886261932108,0.06076180799197842
0.26,0.26,-0.0847525464669659,0.004328259860938599,0.09860010597724972
0.27,0.27,-0.08492088596327509,-0.0037951919664950956,0.06790779807409192
0.28,0.28,-0.09103225502497671,0.003939855732702197,0.09646780882296738
0.29,0.29,-0.1017366833180268,0.0058442031646478015,0.0742454218174936
0.31,0.31,-0.16503088649273762,0.008097004746024303,0.0043059855902765065
0.32,0.32,-0.16299482954903327,0.006269130608630505,-0.008335658792557793
0.33,0.33,-0.2266653825722543,0.005793295716462296,-0.054676856046563305
0.34,0.34,-0.27607344066574935,-0.008523597765099603,-0.09138925515507512
0.35,0.35,-0.28804053450846,0.00501616836775709,-0.09778735727593696
0.36,0.36,-0.30012074662742205,-0.0075156449012133,-0.08873630522642567
0.37,0.37,-0.3703763201422901,-0.012998021547946506,-0.14743116136180323
0.38,0.38,-0.3791821259456793,-0.011576662604523905,-0.1612734557717459
0.39,0.39,-0.4158000669748413,0.0025495525069809954,-0.1603384914581299
0.41,0.41,-0.47501511031538135,-0.008355287694530408,-0.18566965292926135
0.42,0.42,-0.4314059952635096,-0.0024823364093381067,-0.1454250873388646
0.43,0.43,-0.4687968917454182,-0.0036922620051478006,-0.13845849422419781
0.44,0.44,-0.4390650112318356,-0.0003374924021750936,-0.10782454993171375
0.45,0.45,-0.4560511057656447,-0.004463214556995901,-0.009000020969395006
0.46,0.46,-0.5198194717115862,-0.0014418071278371053,-0.06594279853771146
0.47,0.47,-0.5037188382771529,-0.018231214430277892,-0.008714526784852739
0.48,0.48,-0.5979514278970355,-0.0011461342689984,-0.07075090936654582
0.49,0.49,-0.5184569851459078,-0.003070259240795195,-0.002916937368548478
0.51,0.51,-0.5292798459385551,-0.004669542105792304,-0.00026026359370234786
0.52,0.52,-0.566237238048516,-0.0052010626203707055,-0.10671665955383136
0.53,0.53,-0.6534700882546414,-0.005246165135930611,-0.20426766015425257
0.54,0.54,-0.6382676285500022,-0.016419440099989913,-0.19036969453307884
0.55,0.55,-0.7398788211796496,-0.006787809917992299,-0.22591289678815396
0.56,0.56,-0.6804210560918892,-0.013955845875445697,-0.11854548056513714
0.57,0.57,-0.6751354602867485,-0.02253701319376729,-0.12636177437567042
0.58,0.58,-0.7997774511822604,-0.005209037344885703,-0.2273790496424175
