m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.0005346019441740003,0.0006277626515436997,0.0005397270590410995
0.1,0.2,-0.0012153924517633993,,-0.0055581344520132
0.1,0.3,-0.0015850270928815004,,-0.005648931535105
0.1,0.4,-0.002583446057588,,-0.0064767573608014
0.1,0.5,-0.0023881172859737,,-0.007173479061135499
0.1,0.6,-0.0037933709601207,,-0.008073995860639201
0.1,0.7,-0.003955528650559,,-0.0088838761836157
0.1,0.8,-0.0053448569758554,,-0.010606274906143801
0.1,0.9,-0.0062395654416696,,-0.0114856194347452
0.2,0.2,-0.0046100588679148,6.566766421569996e-05,-0.0008231247366576998
0.2,0.3,-0.005546020895344699,,-0.0105118955463847
0.2,0.4,-0.0064940368501406,,-0.0111457482554936
0.2,0.5,-0.008679054046174101,,-0.012598158718385
0.2,0.6,-0.0082738320320782,,-0.0121577597433437
0.2,0.7,-0.0085554883144853,,-0.012697057574499501
0.2,0.8,-0.012276814457415599,,-0.015926898427185
0.2,0.9,-0.011033105179665801,,-0.0157545213811222
0.3,0.3,-0.0108777527259084,-0.0008390448096108,-0.0035363836332929013
0.3,0.4,-0.0120099716542271,-0.1832414990805304,-0.016066710847423702
0.3,0.5,-0.0138444444759506,,-0.018964392799247297
0.3,0.6,-0.0164234175984477,,-0.0212224811358345
0.3,0.7,-0.0186171328126858,,-0.0227824020244299
0.3,0.8,-0.0209204522478789,,-0.0246660217678999
0.3,0.9,-0.0234478305153737,,-0.0278144590037712
0.4,0.4,-0.023306073877475502,-0.002073904020182,-0.007020708448502701
0.4,0.5,-0.0261643657903137,-0.0457031212101548,-0.027966988898021197
0.4,0.6,-0.0301226092791296,,-0.0348285508398116
0.4,0.7,-0.0357546151703007,,-0.0409872918288609
0.4,0.8,-0.0411154508824665,,-0.0454596644754437
0.4,0.9,-0.0420542065000795,,-0.0461839950985689
0.5,0.5,-0.0466872670434907,-0.004366590921749,-0.011531694798617105
0.5,0.6,-0.056675809179853105,-0.034090972285710605,-0.054449392713692805
0.5,0.7,-0.0667049339291118,-1.2307491463872444,-0.0701411341607161
0.5,0.8,-0.0775150558127157,,-0.08258686474494539
0.5,0.9,-0.10271115972778201,,-0.1066972466763274
0.6,0.6,-0.1191057623103699,-0.0101478690652707,-0.0013500028719100055
0.6,0.7,-0.1247477761767716,-0.058072127773495595,-0.11848131066389189
0.6,0.8,-0.1341670715128471,,-0.13826544066008428
0.6,0.9,-0.1472022964242003,,-0.1512140020463942
0.7,0.7,-0.22356472552732562,-0.0115748339861921,-0.05216232100309401
0.7,0.8,-0.3126863797450426,-0.3939361854561536,-0.3095031670105823
0.7,0.9,-0.413652530322901,,-0.4186831002982976
