m,M,epsilon_of_M,NICV
0.1,0.1,1.067878827641591,0.4091167978929107
0.1,0.1,1.067878827641591,0.3249582140835233
0.1,0.1,1.067878827641591,0.4054007161356518
0.1,0.1,1.067878827641591,0.39347382126693636
0.1,0.1,1.067878827641591,0.45096150347423314
0.1,0.1,1.067878827641591,0.4265159579025126
0.1,0.1,1.067878827641591,0.4225011873376419
0.1,0.1,1.067878827641591,0.3934651799694154
0.1,0.1,1.067878827641591,0.4024983692709219
0.1,0.1,1.067878827641591,0.36044393649557
0.1,0.1,1.067878827641591,0.4044698066937966
0.1,0.1,1.067878827641591,0.41459187306189815
0.1,0.1,1.067878827641591,0.38869875940335535
0.1,0.1,1.067878827641591,0.40061190220632426
0.1,0.1,1.067878827641591,0.399899943433749
0.1,0.1,1.067878827641591,0.4031763203650367
0.1,0.1,1.067878827641591,0.38875025186984286
0.1,0.1,1.067878827641591,0.4135192819627721
0.1,0.1,1.067878827641591,0.32795796349362816
0.1,0.1,1.067878827641591,0.4114403661120879
0.1,0.1,1.067878827641591,0.3723816696849149
0.1,0.1,1.067878827641591,0.4134029896540485
0.1,0.1,1.067878827641591,0.40283510159969993
0.1,0.1,1.067878827641591,0.43531517414102516
0.1,0.1,1.067878827641591,0.40558529287495987
0.1,0.1,1.067878827641591,0.4098145886753478
0.1,0.1,1.067878827641591,0.40578639659617505
0.1,0.1,1.067878827641591,0.39218242375723866
0.1,0.1,1.067878827641591,0.44561919689688634
0.1,0.1,1.067878827641591,0.39865273958713143
0.1,0.1,1.067878827641591,0.41487493520449964
0.1,0.1,1.067878827641591,0.46307375319620653
0.1,0.1,1.067878827641591,0.39965317193435784
0.1,0.1,1.067878827641591,0.42253252361406957
0.1,0.1,1.067878827641591,0.43807331031476593
0.1,0.1,1.067878827641591,0.40018076372262107
0.1,0.1,1.067878827641591,0.3877976152297926
0.1,0.1,1.067878827641591,0.40727012577326244
0.1,0.1,1.067878827641591,0.3647931369543216
0.1,0.1,1.067878827641591,0.4013920774798892
0.1,0.1,1.067878827641591,0.3336940334015876
0.1,0.1,1.067878827641591,0.38326782323878106
0.1,0.1,1.067878827641591,0.39586018196815687
0.1,0.1,1.067878827641591,0.40213314932116806
0.1,0.1,1.067878827641591,0.41133838188056343
0.1,0.1,1.067878827641591,0.3874550219726014
0.1,0.1,1.067878827641591,0.4723141294901257
0.1,0.1,1.067878827641591,0.399522786780186
0.1,0.1,1.067878827641591,0.38428227436433926
0.1,0.1,1.067878827641591,0.44254588058011846
0.1,0.1,1.067878827641591,0.42959931131664114
0.1,0.1,1.067878827641591,0.40289056299377124
0.1,0.1,1.067878827641591,0.4199521583581304
0.1,0.1,1.067878827641591,0.32916071056937246
0.1,0.1,1.067878827641591,0.4074811116835526
0.1,0.1,1.067878827641591,0.3277730700370917
0.1,0.1,1.067878827641591,0.4286789862521559
0.1,0.1,1.067878827641591,0.386028580915826
0.1,0.1,1.067878827641591,0.3563803398317306
0.1,0.1,1.067878827641591,0.3927962411935077
0.1,0.1,1.067878827641591,0.4170191241849743
0.1,0.1,1.067878827641591,0.39664110700990973
