m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.01323436911223641,0.004406827047671924,-0.003053614140017702
0.1,0.2,-0.015578489814478569,,-0.10612313619503838
0.1,0.3,-0.014061554034001722,,-0.15572353926059473
0.1,0.4,-0.018686638285675905,,-0.1836752715152815
0.1,0.5,-0.01639705564848437,,-0.20373751326774348
0.1,0.6,-0.019264282087673668,,-0.21771984749138118
0.1,0.7,-0.020493490988394425,,-0.22885008079619462
0.1,0.8,-0.02617228025063989,,-0.24480443977057006
0.1,0.9,-0.02812301376093712,,-0.2527814653334187
0.2,0.2,-0.04045631412097256,0.0007056215610443672,-0.014206048995274945
0.2,0.3,-0.04193041153596805,,-0.09487544038499768
0.2,0.4,-0.04217530421949711,,-0.12592202375146333
0.2,0.5,-0.04731364657004444,,-0.16056310443542354
0.2,0.6,-0.048849300190009326,,-0.18534860513480833
0.2,0.7,-0.04648726579678175,,-0.19828853689706505
0.2,0.8,-0.05279544889970017,,-0.21245966138282157
0.2,0.9,-0.05082167144317845,,-0.2378602356796523
0.3,0.3,-0.07086757381775455,-0.004252185356512506,-0.022884365215213087
0.3,0.4,-0.07340314014173621,-0.38726444870545396,-0.1072411630555562
0.3,0.5,-0.07800454268957313,,-0.13615491042049616
0.3,0.6,-0.08423580356430949,,-0.1592002374096727
0.3,0.7,-0.0872313909568192,,-0.18520973246760108
0.3,0.8,-0.09470707324211769,,-0.21522073460193447
0.3,0.9,-0.09790080715195842,,-0.26364124443940923
0.4,0.4,-0.11689460194021262,-0.011186937309823508,-0.03372651374927249
0.4,0.5,-0.1268764785131692,-0.15592096079562812,-0.13790928290700327
0.4,0.6,-0.13559687641718138,,-0.17861490743111735
0.4,0.7,-0.1455482134911013,,-0.20493658667442283
0.4,0.8,-0.15935564322361961,,-0.2459547108433056
0.4,0.9,-0.16438617943927114,,-0.31496817786784775
0.5,0.5,-0.18825508562883586,-0.02229339357534399,-0.042083243382982305
0.5,0.6,-0.21029990527091863,-0.11099031543425136,-0.19346376750581995
0.5,0.7,-0.22195376358080976,-1.5432954159706835,-0.2523549599036183
0.5,0.8,-0.24052633207096524,,-0.30165204653723365
0.5,0.9,-0.2637451973292685,,-0.39555889169761077
0.6,0.6,-0.3401093325575419,-0.0547913815577013,-0.09603376285415721
0.6,0.7,-0.3589543831358916,-0.16276564765961726,-0.31601688457540134
0.6,0.8,-0.39218991076919524,,-0.42612038783265954
0.6,0.9,-0.4325586281510252,,-0.5352206992245341
0.7,0.7,-0.5837637176783981,-0.0840219798590261,-0.1669346035055045
0.7,0.8,-0.6547853540844923,-0.7498394975928937,-0.6281225526306415
0.7,0.9,-0.7220783562948909,,-0.7901155523623502
0.8,0.8,-1.1334396136083564,-0.14528211966284243,-0.31084799666394325
0.8,0.9,-1.2941568594770736,,-1.315263104690624
0.9,0.9,-2.1081514754686146,-0.3265381283772602,-0.26780063217133554
