m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.05,0.09,0.5,9.432016056618942e-10,0.618,0.45,0.598,0.568
0.06,0.06,0.5,9.432016056618942e-10,0.708,0.49,0.71,0.596
0.06,0.07,0.5,9.432016056618942e-10,0.676,0.516,0.656,0.586
0.06,0.08,0.5,9.432016056618942e-10,0.64,0.482,0.638,0.55
0.06,0.09,0.5,9.432016056618942e-10,0.62,0.446,0.606,0.572
0.07,0.07,0.5,9.432016056618942e-10,0.676,0.512,0.662,0.592
0.07,0.08,0.5,9.432016056618942e-10,0.656,0.448,0.64,0.576
0.07,0.09,0.5,9.432016056618942e-10,0.626,0.446,0.604,0.586
0.08,0.08,0.5,9.432016056618942e-10,0.674,0.458,0.64,0.614
0.08,0.09,0.5,9.432016056618942e-10,0.62,0.44,0.59,0.588
0.09,0.09,0.5,9.432016056618942e-10,0.622,0.44,0.584,0.582
0.11,0.11,0.5,9.432016056618942e-10,0.584,0.398,0.56,0.576
0.12,0.12,0.5,9.432016056618942e-10,0.572,0.38,0.556,0.542
0.13,0.13,0.5,9.432016056618942e-10,0.582,0.406,0.564,0.568
0.14,0.14,0.5,9.432016056618942e-10,0.58,0.376,0.538,0.56
0.15,0.15,0.5,9.432016056618942e-10,0.546,0.384,0.536,0.544
0.16,0.16,0.5,9.432016056618942e-10,0.534,0.414,0.518,0.52
0.17,0.17,0.5,9.432016056618942e-10,0.52,0.396,0.488,0.526
0.18,0.18,0.5,9.432016056618942e-10,0.51,0.376,0.492,0.51
0.19,0.19,0.5,9.432016056618942e-10,0.502,0.376,0.476,0.49
0.21,0.21,0.5,9.432016056618942e-10,0.514,0.376,0.5,0.492
0.22,0.22,0.5,9.432016056618942e-10,0.476,0.374,0.472,0.5
0.23,0.23,0.5,9.432016056618942e-10,0.484,0.36,0.472,0.48
0.24,0.24,0.5,9.432016056618942e-10,0.484,0.384,0.48,0.458
