m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.07,0.09,1.0,9.432016056618942e-10,0.642,,0.66,0.644
0.08,0.08,1.0,9.432016056618942e-10,0.68,,0.696,0.674
0.08,0.09,1.0,9.432016056618942e-10,0.63,,0.66,0.648
0.09,0.09,1.0,9.432016056618942e-10,0.634,,0.644,0.652
0.11,0.11,1.0,9.432016056618942e-10,0.626,,0.628,0.596
0.12,0.12,1.0,9.432016056618942e-10,0.604,,0.592,0.558
0.13,0.13,1.0,9.432016056618942e-10,0.604,,0.576,0.558
0.14,0.14,1.0,9.432016056618942e-10,0.576,,0.56,0.55
0.15,0.15,1.0,9.432016056618942e-10,0.562,,0.546,0.54
0.16,0.16,1.0,9.432016056618942e-10,0.57,,0.554,0.53
0.17,0.17,1.0,9.432016056618942e-10,0.55,,0.542,0.514
0.18,0.18,1.0,9.432016056618942e-10,0.558,,0.552,0.52
0.19,0.19,1.0,9.432016056618942e-10,0.524,,0.532,0.516
0.21,0.21,1.0,9.432016056618942e-10,0.51,,0.508,0.5
0.22,0.22,1.0,9.432016056618942e-10,0.472,,0.472,0.494
0.23,0.23,1.0,9.432016056618942e-10,0.486,,0.5,0.496
0.24,0.24,1.0,9.432016056618942e-10,0.462,,0.466,0.46
0.25,0.25,1.0,9.432016056618942e-10,0.494,,0.5,0.484
0.26,0.26,1.0,9.432016056618942e-10,0.476,,0.472,0.448
0.27,0.27,1.0,9.432016056618942e-10,0.454,,0.458,0.46
0.28,0.28,1.0,9.432016056618942e-10,0.432,,0.42,0.42
0.29,0.29,1.0,9.432016056618942e-10,0.434,,0.41,0.394
0.31,0.31,1.0,9.432016056618942e-10,0.41,,0.41,0.408
0.32,0.32,1.0,9.432016056618942e-10,0.41,,0.414,0.416
0.33,0.33,1.0,9.432016056618942e-10,0.388,,0.396,0.392
0.34,0.34,1.0,9.432016056618942e-10,0.388,,0.392,0.404
0.35,0.35,1.0,9.432016056618942e-10,0.414,,0.386,0.394
0.36,0.36,1.0,9.432016056618942e-10,0.396,,0.392,0.392
0.37,0.37,1.0,9.432016056618942e-10,0.398,,0.398,0.386
0.38,0.38,1.0,9.432016056618942e-10,0.354,,0.35,0.338
0.39,0.39,1.0,9.432016056618942e-10,0.354,,0.328,0.344
0.41,0.41,1.0,9.432016056618942e-10,0.304,,0.29,0.304
0.42,0.42,1.0,9.432016056618942e-10,0.314,,0.292,0.312
0.43,0.43,1.0,9.432016056618942e-10,0.302,,0.288,0.308
0.44,0.44,1.0,9.432016056618942e-10,0.324,,0.304,0.304
0.45,0.45,1.0,9.432016056618942e-10,0.296,,0.286,0.296
0.46,0.46,1.0,9.432016056618942e-10,0.314,,0.324,0.312
0.47,0.47,1.0,9.432016056618942e-10,0.288,,0.286,0.27
0.48,0.48,1.0,9.432016056618942e-10,0.306,,0.3,0.3
0.49,0.49,1.0,9.432016056618942e-10,0.316,,0.308,0.284
0.51,0.51,1.0,9.432016056618942e-10,0.286,,0.276,0.282
0.52,0.52,1.0,9.432016056618942e-10,0.284,,0.29,0.284
0.53,0.53,1.0,9.432016056618942e-10,0.266,,0.266,0.254
0.54,0.54,1.0,9.432016056618942e-10,0.242,,0.238,0.246
0.55,0.55,1.0,9.432016056618942e-10,0.268,,0.248,0.264
0.56,0.56,1.0,9.432016056618942e-10,0.266,,0.244,0.264
0.57,0.57,1.0,9.432016056618942e-10,0.244,,0.242,0.228
0.58,0.58,1.0,9.432016056618942e-10,0.25,,0.228,0.234
0.59,0.59,1.0,9.432016056618942e-10,0.23,,0.214,0.216
0.61,0.61,1.0,9.432016056618942e-10,0.216,,0.2,0.216
0.62,0.62,1.0,9.432016056618942e-10,0.214,,0.21,0.22
0.63,0.63,1.0,9.432016056618942e-10,0.214,,0.214,0.216
0.64,0.64,1.0,9.432016056618942e-10,0.216,,0.222,0.212
0.65,0.65,1.0,9.432016056618942e-10,0.212,,0.206,0.184
0.66,0.66,1.0,9.432016056618942e-10,0.226,,0.23,0.196
0.67,0.67,1.0,9.432016056618942e-10,0.202,,0.2,0.204
0.68,0.68,1.0,9.432016056618942e-10,0.192,,0.212,0.178
0.69,0.69,1.0,9.432016056618942e-10,0.188,,0.19,0.176
0.71,0.71,1.0,9.432016056618942e-10,0.208,,0.204,0.204
0.72,0.72,1.0,9.432016056618942e-10,0.192,,0.18,0.184
0.73,0.73,1.0,9.432016056618942e-10,0.194,,0.188,0.18
0.74,0.74,1.0,9.432016056618942e-10,0.19,,0.16,0.182
0.75,0.75,1.0,9.432016056618942e-10,0.178,,0.16,0.188
0.76,0.76,1.0,9.432016056618942e-10,0.16,,0.144,0.146
0.77,0.77,1.0,9.432016056618942e-10,0.174,,0.162,0.164
0.78,0.78,1.0,9.432016056618942e-10,0.156,,0.14,0.144
0.79,0.79,1.0,9.432016056618942e-10,0.166,,0.15,0.162
0.81,0.81,1.0,9.432016056618942e-10,0.132,,0.14,0.124
0.82,0.82,1.0,9.432016056618942e-10,0.138,,0.118,0.116
0.83,0.83,1.0,9.432016056618942e-10,0.132,,0.112,0.124
