m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.352,-0.15600000000000003,-0.352,-0.348,-0.354,-0.14800000000000002,-0.352,-0.35,-0.35,-0.11199999999999999,-0.35,-0.33799999999999997
0.1,0.2,-0.518,-0.26399999999999996,-0.512,-0.496,,,,,-0.522,,-0.52,-0.526
0.1,0.3,-0.5820000000000001,-0.31000000000000005,-0.5760000000000001,-0.54,,,,,-0.5840000000000001,,-0.5860000000000001,-0.5760000000000001
0.1,0.4,-0.6739999999999999,-0.414,-0.6619999999999999,-0.6479999999999999,,,,,-0.6779999999999999,,-0.6699999999999999,-0.6779999999999999
0.1,0.5,-0.6719999999999999,-0.38600000000000007,-0.6799999999999999,-0.6379999999999999,,,,,-0.6739999999999999,,-0.69,-0.6739999999999999
0.1,0.6,-0.712,-0.45599999999999996,-0.714,-0.6819999999999999,,,,,-0.716,,-0.722,-0.712
0.1,0.7,-0.746,-0.41400000000000003,-0.786,-0.744,,,,,-0.748,,-0.796,-0.78
0.1,0.8,-0.794,-0.514,-0.806,-0.78,,,,,-0.798,,-0.8140000000000001,-0.81
0.1,0.9,-0.836,-0.508,-0.856,-0.7939999999999999,,,,,-0.838,,-0.866,-0.83
0.2,0.2,-0.516,-0.288,-0.514,-0.488,-0.514,-0.25999999999999995,-0.516,-0.49,-0.516,-0.21200000000000002,-0.5,-0.45000000000000007
0.2,0.3,-0.5760000000000001,-0.31600000000000006,-0.5740000000000001,-0.528,-0.592,-0.37000000000000005,-0.636,-0.592,-0.5780000000000001,,-0.5820000000000001,-0.56
0.2,0.4,-0.6699999999999999,-0.40199999999999997,-0.644,-0.622,,,,,-0.6739999999999999,,-0.652,-0.652
0.2,0.5,-0.6719999999999999,-0.39200000000000007,-0.6839999999999999,-0.6259999999999999,,,,,-0.6739999999999999,,-0.694,-0.6619999999999999
0.2,0.6,-0.696,-0.43199999999999994,-0.712,-0.6659999999999999,,,,,-0.7,,-0.72,-0.696
0.2,0.7,-0.77,-0.41400000000000003,-0.78,-0.744,,,,,-0.772,,-0.79,-0.78
0.2,0.8,-0.786,-0.524,-0.802,-0.792,,,,,-0.79,,-0.81,-0.8220000000000001
0.2,0.9,-0.858,-0.532,-0.85,-0.7979999999999999,,,,,-0.86,,-0.86,-0.834
0.3,0.3,-0.5800000000000001,-0.33199999999999996,-0.5720000000000001,-0.548,-0.5820000000000001,-0.32599999999999996,-0.59,-0.56,-0.5760000000000001,-0.20399999999999996,-0.546,-0.49600000000000005
0.3,0.4,-0.648,-0.38400000000000006,-0.638,-0.614,-0.648,-0.39200000000000007,-0.6519999999999999,-0.608,-0.65,-0.414,-0.642,-0.64
0.3,0.5,-0.696,-0.39599999999999996,-0.712,-0.6479999999999999,-0.738,-0.5479999999999999,-0.798,-0.8019999999999999,-0.7,,-0.718,-0.6719999999999999
0.3,0.6,-0.6779999999999999,-0.41200000000000003,-0.7,-0.6639999999999999,,,,,-0.6799999999999999,,-0.71,-0.7
0.3,0.7,-0.764,-0.45799999999999996,-0.776,-0.746,,,,,-0.768,,-0.784,-0.776
0.3,0.8,-0.79,-0.5,-0.812,-0.774,,,,,-0.792,,-0.8220000000000001,-0.81
0.3,0.9,-0.856,-0.5599999999999999,-0.856,-0.816,,,,,-0.86,,-0.864,-0.846
0.4,0.4,-0.644,-0.38000000000000006,-0.6479999999999999,-0.6279999999999999,-0.688,,-0.6799999999999999,-0.6479999999999999,-0.634,-0.22200000000000003,-0.5959999999999999,-0.546
0.4,0.5,-0.702,-0.408,-0.7,-0.6659999999999999,-0.69,-0.41,-0.696,-0.6459999999999999,-0.698,-0.34800000000000003,-0.696,-0.6519999999999999
0.4,0.6,-0.6859999999999999,-0.43400000000000005,-0.696,-0.6579999999999999,-0.688,-0.43600000000000005,-0.704,-0.6719999999999999,-0.688,-0.476,-0.7,-0.6839999999999999
0.4,0.7,-0.752,-0.46199999999999997,-0.78,-0.736,,,,,-0.756,,-0.788,-0.76
0.4,0.8,-0.8140000000000001,-0.502,-0.828,-0.776,,,,,-0.8160000000000001,,-0.838,-0.81
0.4,0.9,-0.862,-0.5459999999999999,-0.85,-0.8079999999999999,,,,,-0.866,,-0.858,-0.84
0.5,0.5,-0.6839999999999999,-0.41000000000000003,-0.6859999999999999,-0.6499999999999999,-0.724,,-0.724,-0.688,-0.6679999999999999,-0.19999999999999996,-0.5920000000000001,-0.522
0.5,0.6,-0.7,-0.42199999999999993,-0.73,-0.6779999999999999,-0.778,,-0.774,-0.744,-0.696,-0.31599999999999995,-0.702,-0.6300000000000001
0.5,0.7,-0.77,-0.44400000000000006,-0.778,-0.754,-0.764,-0.44000000000000006,-0.778,-0.754,-0.77,-0.44800000000000006,-0.778,-0.76
0.5,0.8,-0.8,-0.5299999999999999,-0.838,-0.782,,,,,-0.804,,-0.844,-0.808
0.5,0.9,-0.87,-0.546,-0.872,-0.84,,,,,-0.872,,-0.88,-0.874
0.6,0.6,-0.71,-0.42399999999999993,-0.734,-0.692,-0.752,,-0.742,-0.708,-0.6579999999999999,-0.10599999999999998,-0.588,-0.474
0.6,0.7,-0.756,-0.44200000000000006,-0.768,-0.74,-0.8200000000000001,,-0.804,-0.77,-0.746,-0.29400000000000004,-0.7100000000000001,-0.664
0.6,0.8,-0.81,-0.522,-0.832,-0.788,-0.8180000000000001,-0.5459999999999999,-0.834,-0.786,-0.81,-0.538,-0.834,-0.802
0.6,0.9,-0.872,-0.554,-0.886,-0.838,,,,,-0.874,,-0.892,-0.874
0.7,0.7,-0.748,-0.44199999999999995,-0.784,-0.72,-0.796,,-0.784,-0.766,-0.646,-0.064,-0.5700000000000001,-0.388
0.7,0.8,-0.8240000000000001,-0.524,-0.826,-0.792,-0.85,,-0.852,-0.818,-0.8140000000000001,-0.368,-0.76,-0.712
0.7,0.9,-0.866,-0.578,-0.88,-0.834,,,,,-0.87,,-0.892,-0.86
0.8,0.8,-0.8200000000000001,-0.5399999999999999,-0.8140000000000001,-0.7959999999999999,-0.828,,-0.812,-0.782,-0.6140000000000001,-0.08000000000000002,-0.412,-0.32999999999999996
0.8,0.9,-0.886,-0.58,-0.822,-0.894,-0.856,,-0.834,-0.834,-0.884,-0.524,-0.836,-0.876
0.9,0.9,-0.89,-0.5980000000000001,-0.852,-0.864,-0.858,,-0.834,-0.832,-0.396,-0.061999999999999986,-0.15600000000000003,-0.11
0.01,0.01,-0.04400000000000004,-0.05999999999999994,-0.04799999999999993,-0.09999999999999998,-0.030000000000000027,-0.03799999999999992,-0.016000000000000014,-0.04599999999999993,-0.04800000000000004,-0.05799999999999994,-0.06999999999999995,-0.09199999999999997
0.01,0.02,-0.09799999999999998,-0.04200000000000004,-0.10199999999999998,-0.11599999999999999,,,,,-0.09999999999999998,,-0.126,-0.14600000000000002
0.01,0.03,-0.19799999999999995,-0.05999999999999994,-0.17799999999999994,-0.20999999999999996,,,,,-0.20199999999999996,,-0.20799999999999996,-0.23399999999999999
0.01,0.04,-0.252,-0.08000000000000007,-0.22399999999999998,-0.28,,,,,-0.254,,-0.248,-0.31000000000000005
0.01,0.05,-0.254,-0.10599999999999998,-0.244,-0.2899999999999999,,,,,-0.258,,-0.274,-0.31399999999999995
0.01,0.06,-0.27,-0.08000000000000007,-0.256,-0.31399999999999995,,,,,-0.272,,-0.28,-0.34199999999999997
0.01,0.07,-0.29200000000000004,-0.09999999999999998,-0.2839999999999999,-0.33599999999999997,,,,,-0.29600000000000004,,-0.31399999999999995,-0.362
0.01,0.08,-0.346,-0.134,-0.30399999999999994,-0.356,,,,,-0.348,,-0.32799999999999996,-0.384
0.01,0.09,-0.348,-0.15000000000000002,-0.33799999999999997,-0.364,,,,,-0.352,,-0.368,-0.39
0.02,0.02,-0.09599999999999997,-0.061999999999999944,-0.09999999999999998,-0.13,-0.08599999999999997,-0.025999999999999912,-0.08799999999999997,-0.11199999999999999,-0.09799999999999998,-0.038000000000000034,-0.11599999999999999,-0.136
0.02,0.03,-0.19599999999999995,-0.06600000000000006,-0.17399999999999993,-0.19999999999999996,-0.244,-0.31800000000000006,-0.352,-0.42999999999999994,-0.19999999999999996,,-0.20399999999999996,-0.22199999999999998
0.02,0.04,-0.254,-0.08799999999999997,-0.22599999999999998,-0.28400000000000003,,,,,-0.256,,-0.248,-0.31000000000000005
0.02,0.05,-0.254,-0.10200000000000009,-0.252,-0.28200000000000003,,,,,-0.258,,-0.28400000000000003,-0.31000000000000005
0.02,0.06,-0.276,-0.07000000000000006,-0.256,-0.31399999999999995,,,,,-0.278,,-0.278,-0.33999999999999997
0.02,0.07,-0.29000000000000004,-0.09800000000000009,-0.278,-0.32199999999999995,,,,,-0.29400000000000004,,-0.31000000000000005,-0.35
0.02,0.08,-0.348,-0.138,-0.31199999999999994,-0.36,,,,,-0.35,,-0.33399999999999996,-0.386
0.02,0.09,-0.358,-0.14800000000000002,-0.33199999999999996,-0.37,,,,,-0.362,,-0.364,-0.398
0.03,0.03,-0.19199999999999995,-0.07200000000000006,-0.16200000000000003,-0.19999999999999996,-0.132,-0.04200000000000004,-0.13,-0.15800000000000003,-0.19399999999999995,-0.062000000000000055,-0.16800000000000004,-0.19199999999999995
0.03,0.04,-0.262,-0.09800000000000009,-0.22799999999999998,-0.276,-0.19399999999999995,-0.24000000000000005,-0.21199999999999997,-0.256,-0.266,,-0.258,-0.29400000000000004
0.03,0.05,-0.252,-0.09400000000000008,-0.238,-0.268,-0.5760000000000001,-0.56,-0.762,-0.754,-0.254,,-0.26,-0.29400000000000004
0.03,0.06,-0.27,-0.08599999999999997,-0.248,-0.31399999999999995,,,,,-0.274,,-0.28,-0.34199999999999997
0.03,0.07,-0.29600000000000004,-0.10000000000000009,-0.28400000000000003,-0.32199999999999995,,,,,-0.29800000000000004,,-0.30600000000000005,-0.348
0.03,0.08,-0.33599999999999997,-0.16399999999999992,-0.30799999999999994,-0.366,,,,,-0.33999999999999997,,-0.33999999999999997,-0.394
0.03,0.09,-0.37,-0.134,-0.33799999999999997,-0.374,,,,,-0.372,,-0.36,-0.4
0.04,0.04,-0.26,-0.10399999999999998,-0.22599999999999998,-0.28200000000000003,-0.19999999999999996,-0.09799999999999998,-0.17399999999999993,-0.22399999999999998,-0.262,-0.09200000000000008,-0.248,-0.274
0.04,0.05,-0.262,-0.09800000000000009,-0.236,-0.28200000000000003,-0.22599999999999998,-0.19200000000000006,-0.268,-0.28600000000000003,-0.264,-0.238,-0.254,-0.30400000000000005
0.04,0.06,-0.274,-0.08199999999999996,-0.248,-0.31999999999999995,-0.344,-0.37199999999999994,-0.382,-0.45599999999999996,-0.278,,-0.278,-0.348
0.04,0.07,-0.29600000000000004,-0.1100000000000001,-0.28400000000000003,-0.32399999999999995,,,,,-0.29800000000000004,,-0.30600000000000005,-0.35
0.04,0.08,-0.33399999999999996,-0.16800000000000004,-0.29799999999999993,-0.38,,,,,-0.33799999999999997,,-0.32999999999999996,-0.40800000000000003
0.04,0.09,-0.364,-0.138,-0.33999999999999997,-0.372,,,,,-0.366,,-0.362,-0.398
0.05,0.05,-0.258,-0.09800000000000009,-0.23399999999999999,-0.30199999999999994,-0.252,-0.09200000000000008,-0.21599999999999997,-0.256,-0.26,-0.07200000000000006,-0.242,-0.2819999999999999
0.05,0.06,-0.29000000000000004,-0.07400000000000007,-0.258,-0.31999999999999995,-0.29400000000000004,-0.16400000000000003,-0.274,-0.356,-0.29200000000000004,-0.14600000000000002,-0.27,-0.32999999999999996
0.05,0.07,-0.29600000000000004,-0.10200000000000009,-0.28,-0.32599999999999996,-0.32199999999999995,-0.29800000000000004,-0.34199999999999997,-0.4159999999999999,-0.30000000000000004,,-0.31200000000000006,-0.348
0.05,0.08,-0.348,-0.14800000000000002,-0.32199999999999995,-0.374,-0.472,-0.5,-0.586,-0.6599999999999999,-0.35,,-0.33799999999999997,-0.4
0.05,0.09,-0.366,-0.1419999999999999,-0.348,-0.378,,,,,-0.37,,-0.378,-0.406
0.06,0.06,-0.29200000000000004,-0.07800000000000007,-0.262,-0.31799999999999995,-0.28200000000000003,-0.07000000000000006,-0.254,-0.2899999999999999,-0.29000000000000004,-0.05400000000000005,-0.262,-0.30999999999999994
0.06,0.07,-0.29400000000000004,-0.1080000000000001,-0.276,-0.33199999999999996,-0.30400000000000005,-0.15000000000000002,-0.30799999999999994,-0.32199999999999995,-0.29800000000000004,-0.17200000000000004,-0.30000000000000004,-0.33999999999999997
0.06,0.08,-0.35,-0.14400000000000002,-0.31799999999999995,-0.376,-0.374,-0.23600000000000004,-0.4139999999999999,-0.398,-0.352,,-0.33599999999999997,-0.392
0.06,0.09,-0.358,-0.136,-0.33999999999999997,-0.364,-0.42200000000000004,-0.3420000000000001,-0.476,-0.45599999999999996,-0.362,,-0.366,-0.39
0.07,0.07,-0.29200000000000004,-0.118,-0.274,-0.32199999999999995,-0.31799999999999995,-0.1379999999999999,-0.29399999999999993,-0.31799999999999995,-0.29000000000000004,-0.09000000000000008,-0.272,-0.29999999999999993
0.07,0.08,-0.32399999999999995,-0.15599999999999992,-0.30599999999999994,-0.33199999999999996,-0.358,-0.19399999999999995,-0.32999999999999996,-0.384,-0.32599999999999996,-0.20199999999999996,-0.32399999999999995,-0.354
0.07,0.09,-0.374,-0.14200000000000002,-0.346,-0.32199999999999995,-0.386,-0.26800000000000007,-0.406,-0.43199999999999994,-0.374,-0.256,-0.368,-0.348
0.08,0.08,-0.31799999999999995,-0.118,-0.30999999999999994,-0.2839999999999999,-0.372,-0.17000000000000004,-0.33399999999999996,-0.35,-0.31599999999999995,-0.122,-0.30599999999999994,-0.2759999999999999
0.08,0.09,-0.376,-0.138,-0.36,-0.32799999999999996,-0.386,-0.25000000000000006,-0.344,-0.376,-0.376,-0.18799999999999994,-0.376,-0.344
0.09,0.09,-0.364,-0.14600000000000002,-0.358,-0.33599999999999997,-0.39,-0.24000000000000005,-0.35,-0.366,-0.362,-0.14200000000000002,-0.354,-0.32399999999999995
0.11,0.11,-0.394,-0.19800000000000006,-0.39,-0.364,-0.42000000000000004,-0.22000000000000003,-0.386,-0.38,-0.392,-0.17000000000000004,-0.378,-0.346
0.12,0.12,-0.41400000000000003,-0.19400000000000006,-0.4,-0.38,-0.42400000000000004,-0.21800000000000003,-0.43399999999999994,-0.42199999999999993,-0.41000000000000003,-0.16400000000000003,-0.394,-0.372
0.13,0.13,-0.402,-0.18000000000000005,-0.40800000000000003,-0.362,-0.478,-0.24000000000000005,-0.43199999999999994,-0.42599999999999993,-0.4,-0.17600000000000005,-0.402,-0.348
0.14,0.14,-0.41000000000000003,-0.21000000000000002,-0.4179999999999999,-0.348,-0.474,-0.22800000000000004,-0.44199999999999995,-0.4179999999999999,-0.406,-0.184,-0.4059999999999999,-0.32400000000000007
0.15,0.15,-0.43400000000000005,-0.20400000000000007,-0.42199999999999993,-0.4059999999999999,-0.43600000000000005,-0.25600000000000006,-0.42199999999999993,-0.43399999999999994,-0.43000000000000005,-0.18200000000000005,-0.41999999999999993,-0.3859999999999999
0.16,0.16,-0.44999999999999996,-0.21200000000000002,-0.42999999999999994,-0.4099999999999999,-0.488,-0.27,-0.478,-0.46599999999999997,-0.43999999999999995,-0.14599999999999996,-0.42799999999999994,-0.3979999999999999
