m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.75,9.432016056618942e-10,0.646,0.522,0.638,0.616
0.1,0.2,0.75,9.432016056618942e-10,0.478,0.436,0.48,0.474
0.1,0.3,0.75,9.432016056618942e-10,0.416,0.366,0.414,0.424
0.1,0.4,0.75,9.432016056618942e-10,0.322,0.288,0.33,0.322
0.1,0.5,0.75,9.432016056618942e-10,0.326,0.29,0.31,0.326
0.1,0.6,0.75,9.432016056618942e-10,0.284,0.246,0.278,0.288
0.1,0.7,0.75,9.432016056618942e-10,0.252,0.262,0.204,0.22
0.1,0.8,0.75,9.432016056618942e-10,0.202,0.186,0.186,0.19
0.1,0.9,0.75,9.432016056618942e-10,0.162,0.17,0.134,0.17
0.2,0.2,0.75,9.432016056618942e-10,0.48,0.412,0.478,0.482
0.2,0.3,0.75,9.432016056618942e-10,0.422,0.36,0.416,0.436
0.2,0.4,0.75,9.432016056618942e-10,0.326,0.298,0.348,0.348
0.2,0.5,0.75,9.432016056618942e-10,0.326,0.288,0.306,0.338
0.2,0.6,0.75,9.432016056618942e-10,0.3,0.264,0.28,0.304
0.2,0.7,0.75,9.432016056618942e-10,0.228,0.266,0.21,0.22
0.2,0.8,0.75,9.432016056618942e-10,0.21,0.172,0.19,0.178
0.2,0.9,0.75,9.432016056618942e-10,0.14,0.15,0.14,0.166
0.3,0.3,0.75,9.432016056618942e-10,0.416,0.362,0.42,0.422
0.3,0.4,0.75,9.432016056618942e-10,0.35,0.3,0.352,0.35
0.3,0.5,0.75,9.432016056618942e-10,0.3,0.298,0.28,0.322
0.3,0.6,0.75,9.432016056618942e-10,0.32,0.27,0.29,0.3
0.3,0.7,0.75,9.432016056618942e-10,0.232,0.238,0.216,0.224
0.3,0.8,0.75,9.432016056618942e-10,0.208,0.18,0.178,0.19
0.3,0.9,0.75,9.432016056618942e-10,0.14,0.136,0.136,0.154
0.4,0.4,0.75,9.432016056618942e-10,0.354,0.3,0.342,0.336
0.4,0.5,0.75,9.432016056618942e-10,0.294,0.288,0.292,0.304
0.4,0.6,0.75,9.432016056618942e-10,0.312,0.25,0.294,0.306
0.4,0.7,0.75,9.432016056618942e-10,0.244,0.232,0.212,0.234
0.4,0.8,0.75,9.432016056618942e-10,0.184,0.18,0.162,0.19
0.4,0.9,0.75,9.432016056618942e-10,0.134,0.148,0.142,0.16
0.5,0.5,0.75,9.432016056618942e-10,0.314,0.272,0.304,0.316
0.5,0.6,0.75,9.432016056618942e-10,0.296,0.272,0.262,0.29
0.5,0.7,0.75,9.432016056618942e-10,0.228,0.238,0.212,0.212
0.5,0.8,0.75,9.432016056618942e-10,0.196,0.166,0.154,0.186
0.5,0.9,0.75,9.432016056618942e-10,0.128,0.136,0.12,0.126
0.6,0.6,0.75,9.432016056618942e-10,0.286,0.27,0.256,0.276
0.6,0.7,0.75,9.432016056618942e-10,0.242,0.24,0.224,0.226
