m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.01,0.02,-0.07199999999999995,,-0.062000000000000055,-0.07199999999999995,-0.05600000000000005,,-0.06799999999999995,-0.09399999999999997,-0.07199999999999995,,-0.062000000000000055,-0.07199999999999995
0.01,0.03,-0.118,,-0.10799999999999998,-0.132,,,,,-0.118,,-0.10799999999999998,-0.132
0.01,0.04,-0.15800000000000003,,-0.16400000000000003,-0.17800000000000005,,,,,-0.15800000000000003,,-0.16400000000000003,-0.17800000000000005
0.01,0.05,-0.20599999999999996,,-0.20599999999999996,-0.22399999999999998,,,,,-0.20599999999999996,,-0.20599999999999996,-0.22399999999999998
0.01,0.06,-0.21799999999999997,,-0.20399999999999996,-0.21599999999999997,,,,,-0.21799999999999997,,-0.20399999999999996,-0.21599999999999997
0.01,0.07,-0.262,,-0.26,-0.258,,,,,-0.262,,-0.26,-0.258
0.01,0.08,-0.28200000000000003,,-0.28400000000000003,-0.274,,,,,-0.28200000000000003,,-0.28400000000000003,-0.274
0.01,0.09,-0.33399999999999996,,-0.33199999999999996,-0.33599999999999997,,,,,-0.33399999999999996,,-0.33199999999999996,-0.33599999999999997
0.02,0.02,-0.06599999999999995,,-0.05800000000000005,-0.06000000000000005,-0.06999999999999995,,-0.06399999999999995,-0.08399999999999996,-0.06599999999999995,,-0.05800000000000005,-0.06000000000000005
0.02,0.03,-0.11399999999999999,,-0.10799999999999998,-0.134,-0.10599999999999998,,-0.11599999999999999,-0.13,-0.11399999999999999,,-0.10799999999999998,-0.134
0.02,0.04,-0.14400000000000002,,-0.15000000000000002,-0.16800000000000004,-0.15400000000000003,,-0.17400000000000004,-0.20799999999999996,-0.14400000000000002,,-0.15000000000000002,-0.16800000000000004
0.02,0.05,-0.19399999999999995,,-0.20199999999999996,-0.21599999999999997,-0.26,,-0.26,-0.344,-0.19399999999999995,,-0.20199999999999996,-0.21599999999999997
0.02,0.06,-0.20199999999999996,,-0.20999999999999996,-0.21799999999999997,,,,,-0.20199999999999996,,-0.20999999999999996,-0.21799999999999997
0.02,0.07,-0.262,,-0.26,-0.258,,,,,-0.262,,-0.26,-0.258
0.02,0.08,-0.28,,-0.28200000000000003,-0.278,,,,,-0.28,,-0.28200000000000003,-0.278
0.02,0.09,-0.33399999999999996,,-0.32599999999999996,-0.32999999999999996,,,,,-0.33399999999999996,,-0.32599999999999996,-0.32999999999999996
0.03,0.03,-0.11199999999999999,,-0.09799999999999998,-0.136,-0.09799999999999998,,-0.09399999999999997,-0.12,-0.11199999999999999,,-0.09799999999999998,-0.136
0.03,0.04,-0.14600000000000002,,-0.15600000000000003,-0.17400000000000004,-0.18600000000000005,,-0.18600000000000005,-0.20599999999999996,-0.14600000000000002,,-0.15600000000000003,-0.17400000000000004
0.03,0.05,-0.19399999999999995,,-0.19199999999999995,-0.19999999999999996,-0.22599999999999998,,-0.22799999999999998,-0.22999999999999998,-0.19399999999999995,,-0.19199999999999995,-0.19999999999999996
0.03,0.06,-0.22799999999999998,,-0.21999999999999997,-0.244,-0.246,,-0.25,-0.278,-0.22799999999999998,,-0.21999999999999997,-0.244
0.03,0.07,-0.236,,-0.236,-0.258,-0.29800000000000004,,-0.29000000000000004,-0.33799999999999997,-0.236,,-0.236,-0.258
0.03,0.08,-0.30000000000000004,,-0.30400000000000005,-0.29800000000000004,-0.364,,-0.386,-0.47,-0.30000000000000004,,-0.30400000000000005,-0.29800000000000004
0.03,0.09,-0.31000000000000005,,-0.30800000000000005,-0.32799999999999996,,,,,-0.31000000000000005,,-0.30800000000000005,-0.32799999999999996
0.04,0.04,-0.15000000000000002,,-0.15400000000000003,-0.16800000000000004,-0.21799999999999997,,-0.22799999999999998,-0.21999999999999997,-0.15000000000000002,,-0.15400000000000003,-0.16800000000000004
0.04,0.05,-0.19799999999999995,,-0.19999999999999996,-0.20999999999999996,-0.18799999999999994,,-0.19799999999999995,-0.21599999999999997,-0.19799999999999995,,-0.19999999999999996,-0.20999999999999996
0.04,0.06,-0.21799999999999997,,-0.21799999999999997,-0.23399999999999999,-0.21799999999999997,,-0.21799999999999997,-0.246,-0.21799999999999997,,-0.21799999999999997,-0.23399999999999999
0.04,0.07,-0.238,,-0.242,-0.25,-0.23399999999999999,,-0.244,-0.266,-0.238,,-0.242,-0.25
0.04,0.08,-0.28800000000000003,,-0.28800000000000003,-0.28600000000000003,-0.30000000000000004,,-0.31799999999999995,-0.33199999999999996,-0.28800000000000003,,-0.28800000000000003,-0.28600000000000003
0.04,0.09,-0.31799999999999995,,-0.31000000000000005,-0.33799999999999997,-0.346,,-0.388,-0.358,-0.31799999999999995,,-0.31000000000000005,-0.33799999999999997
0.05,0.05,-0.20799999999999996,,-0.20599999999999996,-0.21599999999999997,-0.20799999999999996,,-0.20399999999999996,-0.20999999999999996,-0.20799999999999996,,-0.20599999999999996,-0.21599999999999997
0.05,0.06,-0.22399999999999998,,-0.21399999999999997,-0.22999999999999998,-0.236,,-0.22199999999999998,-0.23199999999999998,-0.22399999999999998,,-0.21399999999999997,-0.22999999999999998
0.05,0.07,-0.254,,-0.246,-0.262,-0.32999999999999996,,-0.31999999999999995,-0.31000000000000005,-0.254,,-0.246,-0.262
0.05,0.08,-0.28600000000000003,,-0.29000000000000004,-0.29400000000000004,-0.262,,-0.27,-0.28,-0.28600000000000003,,-0.29000000000000004,-0.29400000000000004
0.05,0.09,-0.31799999999999995,,-0.32199999999999995,-0.32799999999999996,-0.35,,-0.366,-0.35,-0.31799999999999995,,-0.32199999999999995,-0.32799999999999996
0.06,0.06,-0.22799999999999998,,-0.21599999999999997,-0.22999999999999998,-0.22799999999999998,,-0.22799999999999998,-0.246,-0.22799999999999998,,-0.21599999999999997,-0.22999999999999998
0.06,0.07,-0.254,,-0.252,-0.256,-0.266,,-0.272,-0.278,-0.254,,-0.252,-0.256
0.06,0.08,-0.29600000000000004,,-0.29800000000000004,-0.30600000000000005,-0.262,,-0.272,-0.274,-0.29600000000000004,,-0.29800000000000004,-0.30600000000000005
0.06,0.09,-0.32199999999999995,,-0.32599999999999996,-0.31799999999999995,-0.32199999999999995,,-0.33399999999999996,-0.32999999999999996,-0.32199999999999995,,-0.32599999999999996,-0.31799999999999995
0.07,0.07,-0.256,,-0.25,-0.266,-0.264,,-0.27,-0.28400000000000003,-0.256,,-0.25,-0.266
0.07,0.08,-0.31999999999999995,,-0.31000000000000005,-0.32599999999999996,-0.32199999999999995,,-0.32399999999999995,-0.33199999999999996,-0.31999999999999995,,-0.31000000000000005,-0.32599999999999996
0.07,0.09,-0.346,,-0.346,-0.354,-0.32799999999999996,,-0.33999999999999997,-0.33399999999999996,-0.346,,-0.346,-0.354
0.08,0.08,-0.31599999999999995,,-0.30000000000000004,-0.31599999999999995,-0.31000000000000005,,-0.31599999999999995,-0.32199999999999995,-0.31599999999999995,,-0.30000000000000004,-0.31599999999999995
0.08,0.09,-0.344,,-0.34199999999999997,-0.352,-0.35,,-0.356,-0.33799999999999997,-0.344,,-0.34199999999999997,-0.352
0.09,0.09,-0.35,,-0.344,-0.344,-0.362,,-0.346,-0.35,-0.35,,-0.344,-0.344
0.11,0.11,-0.368,,-0.38,-0.384,-0.394,,-0.388,-0.374,-0.368,,-0.38,-0.384
0.12,0.12,-0.402,,-0.394,-0.41600000000000004,-0.45599999999999996,,-0.45999999999999996,-0.44999999999999996,-0.402,,-0.394,-0.41600000000000004
0.13,0.13,-0.398,,-0.404,-0.41000000000000003,-0.43000000000000005,,-0.44799999999999995,-0.42800000000000005,-0.398,,-0.404,-0.41000000000000003
0.14,0.14,-0.41800000000000004,,-0.44199999999999995,-0.44399999999999995,-0.46799999999999997,,-0.476,-0.46199999999999997,-0.41800000000000004,,-0.44199999999999995,-0.44399999999999995
0.15,0.15,-0.43600000000000005,,-0.44999999999999996,-0.44599999999999995,-0.44199999999999995,,-0.44199999999999995,-0.44399999999999995,-0.43600000000000005,,-0.44999999999999996,-0.44599999999999995
0.16,0.16,-0.43600000000000005,,-0.44399999999999995,-0.44999999999999996,-0.486,,-0.498,-0.486,-0.43600000000000005,,-0.44399999999999995,-0.44999999999999996
0.17,0.17,-0.43600000000000005,,-0.45799999999999996,-0.47,-0.44799999999999995,,-0.44199999999999995,-0.45799999999999996,-0.43600000000000005,,-0.45799999999999996,-0.47
0.18,0.18,-0.43999999999999995,,-0.44599999999999995,-0.45999999999999996,-0.502,,-0.51,-0.502,-0.43999999999999995,,-0.44599999999999995,-0.45999999999999996
0.19,0.19,-0.47,,-0.45999999999999996,-0.474,-0.512,,-0.506,-0.492,-0.47,,-0.45999999999999996,-0.474
0.21,0.21,-0.48,,-0.476,-0.48,-0.474,,-0.484,-0.478,-0.48,,-0.476,-0.48
0.22,0.22,-0.516,,-0.514,-0.496,-0.512,,-0.514,-0.5,-0.516,,-0.514,-0.496
0.23,0.23,-0.508,,-0.496,-0.508,-0.524,,-0.522,-0.532,-0.508,,-0.496,-0.508
0.24,0.24,-0.53,,-0.528,-0.53,-0.5640000000000001,,-0.5780000000000001,-0.5720000000000001,-0.53,,-0.528,-0.53
0.25,0.25,-0.5,,-0.498,-0.514,-0.522,,-0.528,-0.52,-0.5,,-0.498,-0.514
0.26,0.26,-0.524,,-0.528,-0.522,-0.542,,-0.548,-0.544,-0.524,,-0.528,-0.522
0.27,0.27,-0.538,,-0.532,-0.524,-0.532,,-0.544,-0.542,-0.538,,-0.532,-0.524
0.28,0.28,-0.5680000000000001,,-0.5720000000000001,-0.5740000000000001,-0.632,,-0.62,-0.616,-0.5680000000000001,,-0.5720000000000001,-0.5740000000000001
0.29,0.29,-0.5820000000000001,,-0.5920000000000001,-0.598,-0.5920000000000001,,-0.6,-0.608,-0.5820000000000001,,-0.5920000000000001,-0.598
0.31,0.31,-0.5740000000000001,,-0.5820000000000001,-0.594,-0.608,,-0.624,-0.614,-0.5740000000000001,,-0.5820000000000001,-0.594
0.32,0.32,-0.602,,-0.5920000000000001,-0.5840000000000001,-0.606,,-0.5880000000000001,-0.5880000000000001,-0.602,,-0.5920000000000001,-0.5840000000000001
0.33,0.33,-0.6,,-0.604,-0.596,-0.644,,-0.652,-0.65,-0.6,,-0.604,-0.596
0.34,0.34,-0.608,,-0.614,-0.594,-0.634,,-0.63,-0.626,-0.608,,-0.614,-0.594
0.35,0.35,-0.5860000000000001,,-0.608,-0.596,-0.5820000000000001,,-0.6,-0.5920000000000001,-0.5860000000000001,,-0.608,-0.596
0.36,0.36,-0.604,,-0.606,-0.6,-0.636,,-0.634,-0.638,-0.604,,-0.606,-0.6
0.37,0.37,-0.5920000000000001,,-0.606,-0.606,-0.622,,-0.636,-0.63,-0.5920000000000001,,-0.606,-0.606
0.38,0.38,-0.646,,-0.654,-0.654,-0.612,,-0.622,-0.622,-0.646,,-0.654,-0.654
0.39,0.39,-0.648,,-0.6659999999999999,-0.652,-0.6639999999999999,,-0.6779999999999999,-0.6659999999999999,-0.648,,-0.6659999999999999,-0.652
0.41,0.41,-0.694,,-0.7,-0.712,-0.692,,-0.69,-0.692,-0.694,,-0.7,-0.712
0.42,0.42,-0.696,,-0.69,-0.69,-0.696,,-0.688,-0.6859999999999999,-0.696,,-0.69,-0.69
0.43,0.43,-0.7,,-0.698,-0.692,-0.698,,-0.7,-0.694,-0.7,,-0.698,-0.692
0.44,0.44,-0.6799999999999999,,-0.6739999999999999,-0.6679999999999999,-0.6759999999999999,,-0.6819999999999999,-0.6679999999999999,-0.6799999999999999,,-0.6739999999999999,-0.6679999999999999
0.45,0.45,-0.706,,-0.71,-0.708,-0.698,,-0.692,-0.6859999999999999,-0.706,,-0.71,-0.708
0.46,0.46,-0.6859999999999999,,-0.6859999999999999,-0.692,-0.716,,-0.708,-0.712,-0.6859999999999999,,-0.6859999999999999,-0.692
0.47,0.47,-0.716,,-0.72,-0.724,-0.6819999999999999,,-0.6819999999999999,-0.6819999999999999,-0.716,,-0.72,-0.724
0.48,0.48,-0.696,,-0.696,-0.704,-0.714,,-0.712,-0.718,-0.696,,-0.696,-0.704
0.49,0.49,-0.6779999999999999,,-0.692,-0.696,-0.69,,-0.704,-0.7,-0.6779999999999999,,-0.692,-0.696
0.51,0.51,-0.728,,-0.736,-0.734,-0.73,,-0.73,-0.724,-0.728,,-0.736,-0.734
0.52,0.52,-0.742,,-0.744,-0.752,-0.728,,-0.718,-0.73,-0.742,,-0.744,-0.752
0.53,0.53,-0.72,,-0.72,-0.734,-0.762,,-0.744,-0.758,-0.72,,-0.72,-0.734
0.54,0.54,-0.762,,-0.752,-0.75,-0.776,,-0.764,-0.766,-0.762,,-0.752,-0.75
0.55,0.55,-0.736,,-0.736,-0.74,-0.764,,-0.766,-0.762,-0.736,,-0.736,-0.74
0.56,0.56,-0.732,,-0.742,-0.742,-0.758,,-0.75,-0.758,-0.732,,-0.742,-0.742
0.57,0.57,-0.75,,-0.764,-0.752,-0.756,,-0.754,-0.752,-0.75,,-0.764,-0.752
0.58,0.58,-0.756,,-0.752,-0.768,-0.75,,-0.752,-0.752,-0.756,,-0.752,-0.766
0.59,0.59,-0.776,,-0.776,-0.788,-0.784,,-0.794,-0.79,-0.776,,-0.776,-0.788
0.61,0.61,-0.786,,-0.792,-0.786,-0.758,,-0.762,-0.75,-0.786,,-0.792,-0.786
0.62,0.62,-0.784,,-0.79,-0.79,-0.784,,-0.778,-0.776,-0.784,,-0.79,-0.79
0.63,0.63,-0.778,,-0.794,-0.78,-0.786,,-0.784,-0.788,-0.778,,-0.794,-0.78
0.64,0.64,-0.78,,-0.77,-0.778,-0.768,,-0.764,-0.77,-0.78,,-0.77,-0.776
0.65,0.65,-0.8,,-0.794,-0.792,-0.8,,-0.8,-0.802,-0.8,,-0.794,-0.792
0.66,0.66,-0.774,,-0.772,-0.776,-0.762,,-0.766,-0.762,-0.774,,-0.772,-0.776
0.67,0.67,-0.8,,-0.8,-0.79,-0.788,,-0.804,-0.798,-0.8,,-0.8,-0.79
0.68,0.68,-0.802,,-0.8,-0.812,-0.776,,-0.764,-0.776,-0.802,,-0.8,-0.812
0.69,0.69,-0.8160000000000001,,-0.8140000000000001,-0.8160000000000001,-0.782,,-0.792,-0.794,-0.8160000000000001,,-0.8140000000000001,-0.81
0.71,0.71,-0.792,,-0.794,-0.79,-0.79,,-0.792,-0.792,-0.792,,-0.794,-0.784
0.72,0.72,-0.808,,-0.8240000000000001,-0.812,-0.784,,-0.794,-0.796,-0.808,,-0.8240000000000001,-0.804
0.73,0.73,-0.806,,-0.802,-0.808,-0.8,,-0.808,-0.8,-0.806,,-0.802,-0.798
0.74,0.74,-0.808,,-0.8260000000000001,-0.808,-0.806,,-0.796,-0.8,-0.808,,-0.8240000000000001,-0.806
0.75,0.75,-0.83,,-0.832,-0.8140000000000001,-0.8140000000000001,,-0.81,-0.8,-0.83,,-0.832,-0.81
0.76,0.76,-0.838,,-0.842,-0.836,-0.8140000000000001,,-0.812,-0.808,-0.838,,-0.842,-0.83
0.77,0.77,-0.8260000000000001,,-0.834,-0.8260000000000001,-0.8260000000000001,,-0.834,-0.836,-0.8260000000000001,,-0.834,-0.812
0.78,0.78,-0.844,,-0.856,-0.852,-0.858,,-0.858,-0.856,-0.844,,-0.856,-0.842
0.79,0.79,-0.836,,-0.838,-0.8260000000000001,-0.836,,-0.838,-0.83,-0.836,,-0.838,-0.81
0.81,0.81,-0.866,,-0.856,-0.862,-0.84,,-0.842,-0.842,-0.866,,-0.848,-0.842
0.82,0.82,-0.87,,-0.882,-0.88,-0.84,,-0.834,-0.84,-0.87,,-0.876,-0.852
0.83,0.83,-0.864,,-0.878,-0.874,-0.846,,-0.844,-0.842,-0.864,,-0.87,-0.846
0.84,0.84,-0.856,,-0.864,-0.862,-0.836,,-0.844,-0.8280000000000001,-0.85,,-0.844,-0.82
0.85,0.85,-0.876,,-0.886,-0.88,-0.86,,-0.872,-0.858,-0.868,,-0.874,-0.844
0.86,0.86,-0.858,,-0.88,-0.868,-0.85,,-0.864,-0.858,-0.852,,-0.864,-0.814
0.87,0.87,-0.874,,-0.876,-0.88,-0.846,,-0.842,-0.852,-0.862,,-0.85,-0.8160000000000001
0.88,0.88,-0.838,,-0.836,-0.842,-0.89,,-0.896,-0.888,-0.838,,-0.7919999999999999,-0.752
0.89,0.89,-0.848,,-0.844,-0.85,-0.84,,-0.842,-0.848,-0.834,,-0.78,-0.756
0.91,0.91,-0.886,,-0.88,-0.876,-0.868,,-0.87,-0.866,-0.87,,-0.786,-0.712
0.92,0.92,-0.904,,-0.906,-0.91,-0.9,,-0.91,-0.902,-0.874,,-0.79,-0.6880000000000001
0.93,0.93,-0.91,,-0.906,-0.91,-0.908,,-0.906,-0.914,-0.866,,-0.756,-0.664
0.94,0.94,-0.898,,-0.896,-0.9,-0.894,,-0.896,-0.89,-0.8320000000000001,,-0.686,-0.598
0.95,0.95,-0.912,,-0.898,-0.906,-0.898,,-0.898,-0.896,-0.796,,-0.622,-0.54
0.96,0.96,-0.896,,-0.914,-0.918,-0.896,,-0.906,-0.91,-0.724,,-0.5820000000000001,-0.444
0.97,0.97,-0.9319999999999999,,-0.942,-0.922,-0.922,,-0.922,-0.918,-0.6679999999999999,,-0.464,-0.34199999999999997
0.98,0.98,-0.924,,-0.942,-0.9339999999999999,-0.938,,-0.9339999999999999,-0.938,-0.534,,-0.34,-0.236
0.99,0.99,-0.944,,-0.914,-0.942,-0.9299999999999999,,-0.9319999999999999,-0.928,-0.246,,-0.094,-0.10200000000000001
