m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.87,0.87,1.1583929144508198,7.2553969666299544e-09,0.13,,0.132,0.118
0.88,0.88,1.2139860457936091,7.860013380515785e-09,0.124,,0.12,0.126
0.89,0.89,1.275935050784628,8.574560051471768e-09,0.14,,0.148,0.122
0.91,0.91,1.424514083833287,1.0480017840687717e-08,0.12,,0.118,0.114
0.92,0.92,1.5151970565903565,1.1790020070773684e-08,0.116,,0.12,0.104
0.93,0.93,1.6208734670599652,1.3474308652312787e-08,0.102,,0.102,0.108
0.94,0.94,1.7463709781420602,1.5720026761031554e-08,0.112,,0.1,0.114
0.95,0.95,1.8991940825207472,1.886403211323787e-08,0.104,,0.114,0.104
0.96,0.96,2.091942505168724,2.358004014154734e-08,0.09,,0.084,0.096
0.97,0.97,2.3482765458356565,3.144005352206311e-08,0.1,,0.108,0.114
0.98,0.98,2.7213790318827806,4.716008028309468e-08,0.074,,0.066,0.068
0.99,0.99,3.3810811219267833,9.432016056618936e-08,0.058,,0.066,0.058
