m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.258,-0.09799999999999998,-0.248,-0.25,-0.258,-0.09399999999999997,-0.244,-0.252,-0.258,-0.07999999999999996,-0.246,-0.244
0.1,0.2,-0.31799999999999995,-0.08999999999999997,-0.28600000000000003,-0.2819999999999999,,,,,-0.32199999999999995,,-0.31200000000000006,-0.32599999999999996
0.1,0.3,-0.368,-0.18200000000000005,-0.33799999999999997,-0.35,,,,,-0.37,,-0.354,-0.396
0.1,0.4,-0.41600000000000004,-0.266,-0.4159999999999999,-0.378,,,,,-0.42000000000000004,,-0.44199999999999995,-0.42200000000000004
0.1,0.5,-0.48,-0.292,-0.482,-0.43399999999999994,,,,,-0.482,,-0.498,-0.48
0.1,0.6,-0.548,-0.35,-0.532,-0.534,,,,,-0.552,,-0.558,-0.5760000000000001
0.1,0.7,-0.612,-0.41,-0.5720000000000001,-0.57,,,,,-0.614,,-0.5880000000000001,-0.618
0.1,0.8,-0.6679999999999999,-0.424,-0.6599999999999999,-0.6379999999999999,,,,,-0.6719999999999999,,-0.6859999999999999,-0.6799999999999999
0.1,0.9,-0.728,-0.532,-0.704,-0.6599999999999999,,,,,-0.73,,-0.72,-0.708
0.2,0.2,-0.32799999999999996,-0.09199999999999997,-0.29599999999999993,-0.2899999999999999,-0.346,-0.128,-0.31799999999999995,-0.30399999999999994,-0.31999999999999995,-0.05599999999999994,-0.2919999999999999,-0.248
0.2,0.3,-0.36,-0.19399999999999995,-0.34199999999999997,-0.32999999999999996,,,,,-0.362,-0.33599999999999997,-0.358,-0.37
0.2,0.4,-0.42600000000000005,-0.25,-0.4179999999999999,-0.376,,,,,-0.43000000000000005,,-0.43999999999999995,-0.41800000000000004
0.2,0.5,-0.49,-0.304,-0.474,-0.43999999999999995,,,,,-0.492,,-0.494,-0.488
0.2,0.6,-0.552,-0.33999999999999997,-0.528,-0.544,,,,,-0.556,,-0.55,-0.5860000000000001
0.2,0.7,-0.618,-0.414,-0.592,-0.57,,,,,-0.62,,-0.612,-0.618
0.2,0.8,-0.6599999999999999,-0.44,-0.6419999999999999,-0.6519999999999999,,,,,-0.6639999999999999,,-0.6619999999999999,-0.694
0.2,0.9,-0.736,-0.528,-0.704,-0.688,,,,,-0.738,,-0.726,-0.736
0.3,0.3,-0.384,-0.18999999999999995,-0.378,-0.358,-0.378,-0.16400000000000003,-0.37,-0.34199999999999997,-0.38,-0.09399999999999997,-0.354,-0.31400000000000006
0.3,0.4,-0.40800000000000003,-0.268,-0.404,-0.374,-0.44199999999999995,-0.34,-0.44999999999999996,-0.4179999999999999,-0.41000000000000003,-0.33799999999999997,-0.41600000000000004,-0.41200000000000003
0.3,0.5,-0.508,-0.296,-0.49,-0.478,,,,,-0.512,-0.452,-0.51,-0.516
0.3,0.6,-0.56,-0.378,-0.548,-0.532,,,,,-0.562,,-0.5700000000000001,-0.5800000000000001
0.3,0.7,-0.638,-0.43,-0.596,-0.6159999999999999,,,,,-0.642,,-0.616,-0.6579999999999999
0.3,0.8,-0.65,-0.454,-0.6539999999999999,-0.6179999999999999,,,,,-0.652,,-0.6759999999999999,-0.6659999999999999
0.3,0.9,-0.728,-0.53,-0.708,-0.6819999999999999,,,,,-0.732,,-0.728,-0.724
0.4,0.4,-0.43000000000000005,-0.262,-0.41200000000000003,-0.37,-0.42000000000000004,-0.20799999999999996,-0.406,-0.368,-0.41800000000000004,-0.138,-0.376,-0.29800000000000004
0.4,0.5,-0.502,-0.302,-0.474,-0.48799999999999993,-0.502,-0.308,-0.472,-0.49399999999999994,-0.502,-0.326,-0.474,-0.49399999999999994
0.4,0.6,-0.558,-0.358,-0.5700000000000001,-0.544,,,,,-0.56,-0.45199999999999996,-0.5820000000000001,-0.5800000000000001
0.4,0.7,-0.644,-0.424,-0.59,-0.602,,,,,-0.648,-0.5740000000000001,-0.61,-0.642
0.4,0.8,-0.6559999999999999,-0.454,-0.6459999999999999,-0.6199999999999999,,,,,-0.6579999999999999,,-0.6679999999999999,-0.6639999999999999
0.4,0.9,-0.756,-0.544,-0.714,-0.7,,,,,-0.76,,-0.732,-0.746
0.5,0.5,-0.5,-0.322,-0.49,-0.478,-0.504,-0.288,-0.486,-0.48999999999999994,-0.45799999999999996,-0.15399999999999997,-0.44400000000000006,-0.368
0.5,0.6,-0.5660000000000001,-0.372,-0.562,-0.564,-0.5680000000000001,-0.33,-0.552,-0.5499999999999999,-0.5660000000000001,-0.32799999999999996,-0.554,-0.5519999999999999
0.5,0.7,-0.628,-0.428,-0.576,-0.57,-0.654,-0.542,-0.6359999999999999,-0.6659999999999999,-0.63,-0.48800000000000004,-0.59,-0.604
0.5,0.8,-0.694,-0.458,-0.6639999999999999,-0.6459999999999999,,,,,-0.698,-0.6120000000000001,-0.6819999999999999,-0.688
0.5,0.9,-0.74,-0.546,-0.742,-0.702,,,,,-0.742,,-0.766,-0.746
