m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.7,0.7,-0.59,-0.28200000000000003,-0.5700000000000001,-0.49799999999999994,-0.566,-0.19600000000000006,-0.5,-0.44199999999999995,-0.33000000000000007,-0.05199999999999999,-0.25599999999999995,-0.138
0.7,0.8,-0.6459999999999999,-0.34800000000000003,-0.6060000000000001,-0.564,,,,,-0.694,-0.468,-0.6679999999999999,-0.648
0.7,0.9,-0.704,-0.42000000000000004,-0.648,-0.6159999999999999,,,,,-0.764,,-0.762,-0.794
0.8,0.8,-0.6559999999999999,-0.35400000000000004,-0.602,-0.602,-0.6279999999999999,-0.23600000000000004,-0.556,-0.49599999999999994,-0.2760000000000001,-0.04600000000000001,-0.15799999999999997,-0.13399999999999998
0.8,0.9,-0.718,-0.42,-0.7040000000000001,-0.688,,,,,-0.762,-0.674,-0.772,-0.8119999999999999
0.9,0.9,-0.72,-0.432,-0.688,-0.6799999999999999,-0.726,,-0.674,-0.602,-0.154,-0.007999999999999993,-0.011999999999999983,-0.066
0.01,0.01,-0.05399999999999994,-0.010000000000000009,-0.03600000000000003,-0.05399999999999994,-0.039999999999999925,0.050000000000000044,-0.04800000000000004,-0.061999999999999944,-0.030000000000000027,-0.07000000000000006,0.008000000000000007,-0.0
0.01,0.02,-0.061999999999999944,-0.008000000000000007,-0.014000000000000012,-0.06399999999999995,,,,,-0.124,,-0.126,-0.22799999999999998
0.01,0.03,-0.09799999999999998,-0.0040000000000000036,-0.08000000000000007,-0.10199999999999998,,,,,-0.15000000000000002,,-0.17200000000000004,-0.256
0.01,0.04,-0.1339999999999999,-0.016000000000000014,-0.07000000000000006,-0.124,,,,,-0.19599999999999995,,-0.18200000000000005,-0.28600000000000003
0.01,0.05,-0.1419999999999999,0.016000000000000014,-0.118,-0.122,,,,,-0.19399999999999995,,-0.20999999999999996,-0.278
0.01,0.06,-0.1499999999999999,-0.016000000000000014,-0.08599999999999997,-0.11399999999999999,,,,,-0.21199999999999997,,-0.19799999999999995,-0.274
0.01,0.07,-0.19799999999999995,-0.014000000000000012,-0.132,-0.126,,,,,-0.25,,-0.22199999999999998,-0.28400000000000003
0.01,0.08,-0.21799999999999997,-0.026000000000000023,-0.14,-0.16799999999999993,,,,,-0.28,,-0.252,-0.32799999999999996
0.01,0.09,-0.21999999999999997,-0.03799999999999998,-0.17400000000000004,-0.15999999999999992,,,,,-0.272,,-0.266,-0.31799999999999995
0.02,0.02,-0.06599999999999995,-0.0020000000000000018,-0.010000000000000009,-0.06999999999999995,-0.08399999999999996,0.038000000000000034,-0.06000000000000005,-0.05999999999999994,-0.05800000000000005,-0.050000000000000044,0.02200000000000002,-0.028000000000000025
0.02,0.03,-0.10599999999999998,-0.010000000000000009,-0.08800000000000008,-0.09999999999999998,,,,,-0.15800000000000003,-0.32999999999999996,-0.16800000000000004,-0.256
0.02,0.04,-0.1279999999999999,-0.014000000000000012,-0.05600000000000005,-0.118,,,,,-0.18999999999999995,,-0.16800000000000004,-0.274
0.02,0.05,-0.1499999999999999,-0.0,-0.12,-0.12,,,,,-0.20199999999999996,,-0.21199999999999997,-0.28
0.02,0.06,-0.15999999999999992,-0.014000000000000012,-0.09399999999999997,-0.10799999999999998,,,,,-0.22199999999999998,,-0.20399999999999996,-0.266
0.02,0.07,-0.19599999999999995,-0.02400000000000002,-0.126,-0.136,,,,,-0.248,,-0.21999999999999997,-0.29600000000000004
0.02,0.08,-0.20799999999999996,-0.018000000000000016,-0.14800000000000002,-0.16999999999999993,,,,,-0.27,,-0.256,-0.32799999999999996
0.02,0.09,-0.22599999999999998,-0.04799999999999999,-0.16800000000000004,-0.16599999999999993,,,,,-0.278,,-0.264,-0.32399999999999995
0.03,0.03,-0.09399999999999997,0.006000000000000005,-0.050000000000000044,-0.09999999999999998,-0.10799999999999998,0.08599999999999997,-0.08199999999999996,-0.10999999999999999,-0.08400000000000007,-0.04799999999999993,-0.02400000000000002,-0.05400000000000005
0.03,0.04,-0.15999999999999992,-0.02200000000000002,-0.08800000000000008,-0.13,,,,,-0.20199999999999996,-0.28,-0.16800000000000004,-0.254
0.03,0.05,-0.134,0.016000000000000014,-0.08000000000000007,-0.11399999999999999,,,,,-0.19799999999999995,-0.34199999999999997,-0.18000000000000005,-0.27
0.03,0.06,-0.17599999999999993,-0.026000000000000023,-0.10999999999999999,-0.136,,,,,-0.22599999999999998,,-0.20799999999999996,-0.29400000000000004
0.03,0.07,-0.19800000000000006,-0.008000000000000007,-0.11399999999999999,-0.134,,,,,-0.262,,-0.21999999999999997,-0.29400000000000004
0.03,0.08,-0.21999999999999997,-0.03200000000000003,-0.14,-0.16799999999999993,,,,,-0.27,,-0.238,-0.32399999999999995
0.03,0.09,-0.20800000000000007,-0.038000000000000034,-0.16400000000000003,-0.16599999999999993,,,,,-0.272,,-0.27,-0.32799999999999996
0.04,0.04,-0.15799999999999992,-0.016000000000000014,-0.09599999999999997,-0.124,-0.1499999999999999,0.05800000000000005,-0.10399999999999998,-0.15400000000000003,-0.15599999999999992,-0.028000000000000025,-0.06799999999999995,-0.09000000000000008
0.04,0.05,-0.128,-0.0020000000000000018,-0.07800000000000007,-0.11599999999999999,,,,,-0.18799999999999994,-0.19999999999999996,-0.15600000000000003,-0.244
0.04,0.06,-0.17799999999999994,-0.01200000000000001,-0.10999999999999999,-0.138,,,,,-0.22799999999999998,-0.35,-0.20199999999999996,-0.28200000000000003
0.04,0.07,-0.19200000000000006,-0.016000000000000014,-0.10199999999999998,-0.134,,,,,-0.256,-0.388,-0.20799999999999996,-0.29600000000000004
0.04,0.08,-0.21999999999999997,-0.018000000000000016,-0.15200000000000002,-0.16799999999999993,,,,,-0.268,,-0.246,-0.32199999999999995
0.04,0.09,-0.21000000000000008,-0.03600000000000003,-0.15600000000000003,-0.15999999999999992,,,,,-0.276,,-0.266,-0.32399999999999995
0.05,0.05,-0.15599999999999992,0.006000000000000005,-0.09400000000000008,-0.128,-0.15399999999999991,0.038000000000000034,-0.10199999999999998,-0.122,-0.13,-0.038000000000000034,-0.03400000000000003,-0.10199999999999998
0.05,0.06,-0.15200000000000002,-0.018000000000000016,-0.08599999999999997,-0.11199999999999999,-0.382,-0.29400000000000004,-0.458,-0.514,-0.21199999999999997,-0.17800000000000005,-0.16599999999999993,-0.23199999999999998
0.05,0.07,-0.20999999999999996,-0.01200000000000001,-0.128,-0.14200000000000002,,,,,-0.258,-0.258,-0.20799999999999996,-0.274
0.05,0.08,-0.21400000000000008,-0.04400000000000004,-0.15000000000000002,-0.16799999999999993,,,,,-0.28,-0.36,-0.254,-0.32999999999999996
0.05,0.09,-0.22599999999999998,-0.030000000000000027,-0.16200000000000003,-0.15600000000000003,,,,,-0.274,,-0.256,-0.30600000000000005
0.06,0.06,-0.16199999999999992,-0.020000000000000018,-0.08999999999999997,-0.10599999999999998,-0.15999999999999992,0.051999999999999935,-0.124,-0.10399999999999998,-0.15600000000000003,-0.008000000000000007,-0.09599999999999997,-0.09799999999999998
0.06,0.07,-0.20599999999999996,-0.010000000000000009,-0.128,-0.134,-0.30199999999999994,-0.178,-0.30800000000000005,-0.34199999999999997,-0.254,-0.136,-0.17799999999999994,-0.24
0.06,0.08,-0.19999999999999996,-0.04400000000000004,-0.15000000000000002,-0.16399999999999992,,,,,-0.262,-0.248,-0.23399999999999999,-0.30399999999999994
0.06,0.09,-0.21999999999999997,-0.028000000000000025,-0.16200000000000003,-0.15000000000000002,,,,,-0.272,-0.3340000000000001,-0.254,-0.30000000000000004
0.07,0.07,-0.20199999999999996,-0.02200000000000002,-0.10999999999999999,-0.138,-0.15999999999999992,0.016000000000000014,-0.134,-0.138,-0.19200000000000006,0.0020000000000000018,-0.10399999999999998,-0.12
0.07,0.08,-0.21599999999999997,-0.030000000000000027,-0.15000000000000002,-0.1100000000000001,-0.246,-0.16800000000000004,-0.258,-0.274,-0.246,-0.16000000000000003,-0.21599999999999997,-0.21200000000000008
0.07,0.09,-0.24,-0.038000000000000034,-0.16999999999999993,-0.08199999999999996,,,,,-0.27,-0.21799999999999997,-0.29399999999999993,-0.22399999999999998
0.08,0.08,-0.20999999999999996,-0.050000000000000044,-0.136,-0.08800000000000008,-0.19799999999999995,0.051999999999999935,-0.10999999999999999,-0.09400000000000008,-0.17400000000000004,-0.07800000000000007,-0.14400000000000002,-0.07800000000000007
0.08,0.09,-0.24,-0.040000000000000036,-0.17399999999999993,-0.08799999999999997,-0.29399999999999993,-0.15400000000000003,-0.254,-0.21799999999999997,-0.238,-0.128,-0.2679999999999999,-0.15200000000000002
0.09,0.09,-0.242,-0.04200000000000004,-0.19599999999999995,-0.07400000000000007,-0.21799999999999997,0.018000000000000016,-0.16200000000000003,-0.1100000000000001,-0.20400000000000007,-0.07000000000000006,-0.20199999999999996,-0.062000000000000055
0.11,0.11,-0.2819999999999999,-0.07800000000000007,-0.17999999999999994,-0.124,-0.25,0.013999999999999901,-0.14400000000000002,-0.124,-0.22999999999999998,-0.05400000000000005,-0.19599999999999995,-0.08400000000000007
0.12,0.12,-0.29599999999999993,-0.06,-0.19599999999999995,-0.138,-0.244,0.014000000000000012,-0.14600000000000002,-0.10000000000000009,-0.254,-0.08200000000000002,-0.18799999999999994,-0.11399999999999999
0.13,0.13,-0.2879999999999999,-0.10400000000000004,-0.18999999999999995,-0.1339999999999999,-0.268,-0.02400000000000002,-0.20799999999999996,-0.15799999999999992,-0.23399999999999999,-0.07,-0.20199999999999996,-0.08999999999999997
0.14,0.14,-0.29599999999999993,-0.055999999999999994,-0.244,-0.15200000000000002,-0.29599999999999993,0.040000000000000036,-0.22399999999999998,-0.16000000000000003,-0.268,-0.06,-0.22599999999999998,-0.122
0.15,0.15,-0.32399999999999995,-0.10200000000000004,-0.21999999999999997,-0.1299999999999999,-0.2799999999999999,-0.01200000000000001,-0.19999999999999996,-0.16799999999999993,-0.272,-0.07400000000000001,-0.236,-0.06799999999999995
0.16,0.16,-0.32599999999999996,-0.068,-0.24,-0.17000000000000004,-0.31599999999999995,0.02200000000000002,-0.21999999999999997,-0.18000000000000005,-0.29600000000000004,-0.03799999999999998,-0.236,-0.15200000000000002
0.17,0.17,-0.352,-0.11200000000000004,-0.22199999999999998,-0.16999999999999993,-0.31199999999999994,-0.04400000000000004,-0.23399999999999999,-0.20199999999999996,-0.30000000000000004,-0.08000000000000002,-0.21799999999999997,-0.09999999999999998
0.18,0.18,-0.33799999999999997,-0.09000000000000002,-0.28400000000000003,-0.18600000000000005,-0.30999999999999994,-0.010000000000000009,-0.248,-0.18400000000000005,-0.28400000000000003,-0.09400000000000003,-0.252,-0.126
0.19,0.19,-0.362,-0.15000000000000002,-0.252,-0.19599999999999995,-0.29999999999999993,-0.038000000000000034,-0.254,-0.21399999999999997,-0.30400000000000005,-0.11199999999999999,-0.254,-0.132
