m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.254,,-0.26,-0.256,-0.254,,-0.26,-0.256,-0.254,,-0.26,-0.256
0.1,0.2,-0.35,,-0.358,-0.33599999999999997,-0.356,,-0.35,-0.33999999999999997,-0.35,,-0.358,-0.33599999999999997
0.1,0.3,-0.406,,-0.392,-0.404,,,,,-0.406,,-0.392,-0.404
0.1,0.4,-0.474,,-0.484,-0.48,,,,,-0.474,,-0.484,-0.48
0.1,0.5,-0.51,,-0.514,-0.514,,,,,-0.51,,-0.514,-0.514
0.1,0.6,-0.5640000000000001,,-0.5680000000000001,-0.5700000000000001,,,,,-0.5640000000000001,,-0.5680000000000001,-0.5700000000000001
0.1,0.7,-0.5660000000000001,,-0.5880000000000001,-0.5920000000000001,,,,,-0.5660000000000001,,-0.5880000000000001,-0.5920000000000001
0.1,0.8,-0.656,,-0.6619999999999999,-0.656,,,,,-0.656,,-0.6619999999999999,-0.656
0.1,0.9,-0.716,,-0.718,-0.734,,,,,-0.716,,-0.718,-0.734
0.2,0.2,-0.36,,-0.356,-0.346,-0.36,,-0.362,-0.358,-0.36,,-0.356,-0.346
0.2,0.3,-0.40800000000000003,,-0.392,-0.406,-0.40800000000000003,,-0.388,-0.41000000000000003,-0.40800000000000003,,-0.392,-0.406
0.2,0.4,-0.476,,-0.476,-0.5,-0.474,,-0.478,-0.496,-0.476,,-0.476,-0.5
0.2,0.5,-0.526,,-0.522,-0.518,-0.482,,-0.478,-0.486,-0.526,,-0.522,-0.518
0.2,0.6,-0.5740000000000001,,-0.5660000000000001,-0.5740000000000001,,,,,-0.5740000000000001,,-0.5660000000000001,-0.5740000000000001
0.2,0.7,-0.5800000000000001,,-0.596,-0.5900000000000001,,,,,-0.5800000000000001,,-0.596,-0.5900000000000001
0.2,0.8,-0.656,,-0.6579999999999999,-0.65,,,,,-0.656,,-0.6579999999999999,-0.65
0.2,0.9,-0.722,,-0.72,-0.742,,,,,-0.722,,-0.72,-0.742
0.3,0.3,-0.43799999999999994,,-0.42400000000000004,-0.42800000000000005,-0.42200000000000004,,-0.41200000000000003,-0.42400000000000004,-0.43799999999999994,,-0.42400000000000004,-0.42800000000000005
0.3,0.4,-0.476,,-0.484,-0.472,-0.476,,-0.484,-0.476,-0.476,,-0.484,-0.472
0.3,0.5,-0.544,,-0.546,-0.538,-0.544,,-0.546,-0.542,-0.544,,-0.546,-0.538
0.3,0.6,-0.5740000000000001,,-0.5700000000000001,-0.5820000000000001,-0.5760000000000001,,-0.5700000000000001,-0.5840000000000001,-0.5740000000000001,,-0.5700000000000001,-0.5820000000000001
0.3,0.7,-0.604,,-0.608,-0.598,-0.606,,-0.612,-0.606,-0.604,,-0.608,-0.598
0.3,0.8,-0.646,,-0.6659999999999999,-0.644,-0.6699999999999999,,-0.6799999999999999,-0.6619999999999999,-0.646,,-0.6659999999999999,-0.644
0.3,0.9,-0.736,,-0.736,-0.736,,,,,-0.736,,-0.736,-0.736
0.4,0.4,-0.48,,-0.48,-0.496,-0.488,,-0.494,-0.504,-0.48,,-0.48,-0.496
