m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.18,0.18,0.8595913317251941,2.743957317896352e-10,0.64,0.64,0.638,0.624
0.19,0.19,0.8666854293688858,2.777833334166678e-10,0.66,0.636,0.656,0.668
0.21,0.21,0.8812536688507701,2.8481582287025427e-10,0.624,0.636,0.614,0.616
0.22,0.22,0.8887350590087172,2.884673077788472e-10,0.616,0.594,0.648,0.64
0.23,0.23,0.8963530393245699,2.9221363645129984e-10,0.638,0.602,0.63,0.618
0.24,0.24,0.9041116121567843,2.9605855272039594e-10,0.616,0.584,0.62,0.62
0.25,0.25,0.9120149459094247,3.000060000900011e-10,0.642,0.606,0.646,0.636
0.26,0.26,0.9200673841004647,3.040601352263525e-10,0.58,0.59,0.596,0.604
0.27,0.27,0.928273455051213,3.082253425582204e-10,0.616,0.574,0.61,0.61
0.28,0.28,0.9366378822483967,3.125062500937512e-10,0.58,0.552,0.564,0.56
0.29,0.29,0.945165595435516,3.16907746573945e-10,0.578,0.574,0.552,0.57
0.31,0.31,0.9627317021944346,3.2609347835869696e-10,0.574,0.568,0.578,0.588
0.32,0.32,0.9717810978580785,3.308889706875014e-10,0.556,0.56,0.548,0.556
0.33,0.33,0.9810158120708207,3.358276120410461e-10,0.55,0.538,0.542,0.548
0.34,0.34,0.9904420024828995,3.4091590919318326e-10,0.542,0.492,0.53,0.548
0.35,0.35,1.0000661188316402,3.4616076933461673e-10,0.548,,0.544,0.544
0.36,0.36,1.0098949212885167,3.5156953135547025e-10,0.546,,0.542,0.534
0.37,0.37,1.0199355002577364,3.571500001071443e-10,0.53,,0.538,0.54
0.38,0.38,1.0301952977659714,3.6291048397984015e-10,0.538,,0.53,0.534
0.39,0.39,1.0406821305987044,3.6885983617623097e-10,0.522,,0.52,0.528
0.41,0.41,1.0623701956267642,3.8136355943644206e-10,0.5,,0.5,0.512
0.42,0.42,1.0735891714831978,3.8793879321982907e-10,0.532,,0.528,0.544
0.43,0.43,1.0850707315648382,3.9474473696052783e-10,0.542,,0.552,0.544
0.44,0.44,1.0968249880002003,4.0179375012053735e-10,0.522,,0.516,0.524
0.45,0.45,1.1088626144898888,4.090990910318197e-10,0.494,,0.49,0.488
0.46,0.46,1.1211948878939972,4.166750001250016e-10,0.498,,0.49,0.498
0.47,0.47,1.1338337337180995,4.2453679258019024e-10,0.504,,0.5,0.484
0.48,0.48,1.1467917759439052,4.32700961668271e-10,0.508,,0.498,0.496
0.49,0.49,1.1600823917112844,4.411852942500018e-10,0.436,,0.438,0.444
0.51,0.51,1.1877189849705343,4.591928572806142e-10,0.478,,0.474,0.474
0.52,0.52,1.2020960547155022,4.68759375140627e-10,0.472,,0.462,0.456
0.53,0.53,1.2168680362902786,4.787329788670233e-10,0.474,,0.474,0.474
0.54,0.54,1.232053108014251,4.891402175380455e-10,0.448,,0.452,0.438
0.55,0.55,1.2476706701932345,5.000100001500021e-10,0.438,,0.44,0.442
0.56,0.56,1.263741455591361,5.113738637897746e-10,0.476,,0.458,0.456
0.57,0.57,1.2802876526240972,5.232662792267464e-10,0.406,,0.404,0.39
0.58,0.58,1.2973330430696883,5.357250001607165e-10,0.418,,0.412,0.412
0.59,0.59,1.3149031563995686,5.487914635792704e-10,0.398,,0.404,0.408
0.61,0.61,1.3517294705264757,5.769346155576944e-10,0.434,,0.428,0.414
0.62,0.62,1.3710471427965076,5.921171054407919e-10,0.396,,0.396,0.39
0.63,0.63,1.3910129519938252,6.08120270452705e-10,0.44,,0.442,0.422
0.64,0.64,1.4116642623288036,6.250125001875024e-10,0.402,,0.408,0.396
0.65,0.65,1.433041634983773,6.428700001928598e-10,0.41,,0.41,0.4
0.66,0.66,1.4551891999869706,6.617779413750028e-10,0.438,,0.44,0.436
0.67,0.67,1.4781550836517285,6.818318183863665e-10,0.402,,0.406,0.408
0.68,0.68,1.501991901845917,7.031390627109405e-10,0.38,,0.372,0.37
0.69,0.69,1.5267573316393228,7.258209679596801e-10,0.392,,0.378,0.38
0.71,0.71,1.5793341459410297,7.758775864396581e-10,0.386,,0.386,0.388
0.72,0.72,1.6072927679793911,8.035875002410747e-10,0.342,,0.352,0.338
0.73,0.73,1.6364764732938717,8.333500002500032e-10,0.362,,0.356,0.352
0.74,0.74,1.6669808797775236,8.65401923336542e-10,0.378,,0.372,0.36
0.75,0.75,1.6989129310143551,9.000180002700038e-10,0.344,,0.348,0.348
0.76,0.76,1.7323927487350848,9.37518750281254e-10,0.358,,0.352,0.354
0.77,0.77,1.7675558798202609,9.78280435076091e-10,0.338,,0.352,0.326
0.78,0.78,1.8045560431749181,1.0227477275795492e-09,0.318,,0.31,0.298
0.79,0.79,1.8435685161337105,1.0714500003214333e-09,0.29,,0.286,0.286
0.81,0.81,1.9284656541742753,1.1842342108815838e-09,0.29,,0.28,0.27
0.82,0.82,1.9748523462347722,1.2500250003750045e-09,0.362,,0.372,0.368
0.83,0.83,2.0242707834539257,1.3235558827500047e-09,0.28,,0.282,0.28
0.84,0.84,2.077095053807855,1.4062781254218806e-09,0.286,,0.272,0.288
0.85,0.85,2.1337718993367014,1.5000300004500057e-09,0.358,,0.342,0.348
0.86,0.86,2.194840799197073,1.6071750004821494e-09,0.324,,0.332,0.326
0.87,0.87,2.260961508546566,1.730803846673084e-09,0.238,,0.25,0.244
0.88,0.88,2.332952643040251,1.875037500562508e-09,0.282,,0.276,0.276
0.89,0.89,2.4118470924577573,2.0454954551590984e-09,0.258,,0.244,0.252
0.91,0.91,2.596083564530875,2.500050000750011e-09,0.22,,0.228,0.236
0.92,0.92,2.7055470847626846,2.8125562508437628e-09,0.2,,0.198,0.194
0.93,0.93,2.830689166555824,3.2143500009643005e-09,0.192,,0.178,0.186
0.94,0.94,2.976379559152597,3.750075001125011e-09,0.168,,0.176,0.178
0.95,0.95,3.150168641093778,4.500090001350014e-09,0.174,,0.16,0.18
0.96,0.96,3.3647062874381453,5.6251125016875165e-09,0.166,,0.166,0.17
0.97,0.97,3.6437077499508015,7.500150002250021e-09,0.13,,0.132,0.136
0.98,0.98,4.040416234807516,1.1250225003375033e-08,0.138,,0.132,0.134
0.99,0.99,4.724729435786346,2.2500450006750066e-08,0.09,,0.084,0.088
