m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.256,-0.1479999999999999,-0.256,-0.272,-0.256,-0.1479999999999999,-0.256,-0.27,-0.256,-0.1439999999999999,-0.256,-0.272
0.1,0.2,-0.32599999999999996,-0.17399999999999993,-0.31999999999999995,-0.32199999999999995,,,,,-0.32599999999999996,,-0.32999999999999996,-0.32999999999999996
0.1,0.3,-0.358,-0.23199999999999998,-0.346,-0.348,,,,,-0.358,,-0.354,-0.358
0.1,0.4,-0.42200000000000004,-0.30599999999999994,-0.41400000000000003,-0.41200000000000003,,,,,-0.42200000000000004,,-0.42400000000000004,-0.42000000000000004
0.1,0.5,-0.492,-0.366,-0.488,-0.474,,,,,-0.492,,-0.496,-0.484
0.1,0.6,-0.56,-0.408,-0.546,-0.556,,,,,-0.56,,-0.556,-0.5640000000000001
0.1,0.7,-0.624,-0.472,-0.586,-0.604,,,,,-0.624,,-0.594,-0.614
0.1,0.8,-0.6699999999999999,-0.522,-0.6559999999999999,-0.6639999999999999,,,,,-0.6699999999999999,,-0.6659999999999999,-0.6719999999999999
0.1,0.9,-0.708,-0.588,-0.702,-0.6799999999999999,,,,,-0.708,,-0.71,-0.69
0.2,0.2,-0.33799999999999997,-0.17199999999999993,-0.31999999999999995,-0.32399999999999995,-0.354,-0.20999999999999996,-0.344,-0.34199999999999997,-0.33799999999999997,-0.15799999999999992,-0.31999999999999995,-0.31199999999999994
0.2,0.3,-0.356,-0.25,-0.362,-0.354,-0.364,-0.33599999999999997,-0.372,-0.386,-0.356,,-0.37,-0.364
0.2,0.4,-0.42800000000000005,-0.2859999999999999,-0.4,-0.398,,,,,-0.42800000000000005,,-0.40800000000000003,-0.406
0.2,0.5,-0.488,-0.366,-0.482,-0.488,,,,,-0.488,,-0.492,-0.498
0.2,0.6,-0.54,-0.38799999999999996,-0.538,-0.552,,,,,-0.54,,-0.546,-0.56
0.2,0.7,-0.626,-0.488,-0.604,-0.6,,,,,-0.626,,-0.614,-0.61
0.2,0.8,-0.6719999999999999,-0.528,-0.6579999999999999,-0.6539999999999999,,,,,-0.6719999999999999,,-0.6659999999999999,-0.6619999999999999
0.2,0.9,-0.73,-0.596,-0.718,-0.712,,,,,-0.73,,-0.728,-0.722
0.3,0.3,-0.378,-0.244,-0.376,-0.372,-0.388,-0.246,-0.382,-0.374,-0.376,-0.15600000000000003,-0.376,-0.348
0.3,0.4,-0.406,-0.2819999999999999,-0.402,-0.382,-0.406,-0.30599999999999994,-0.40800000000000003,-0.394,-0.406,-0.31799999999999995,-0.404,-0.382
0.3,0.5,-0.508,-0.38399999999999995,-0.494,-0.502,-0.548,-0.56,-0.556,-0.586,-0.508,,-0.502,-0.51
0.3,0.6,-0.554,-0.412,-0.542,-0.54,,,,,-0.554,,-0.552,-0.55
0.3,0.7,-0.646,-0.486,-0.61,-0.616,,,,,-0.646,,-0.618,-0.624
0.3,0.8,-0.6639999999999999,-0.538,-0.6619999999999999,-0.642,,,,,-0.6639999999999999,,-0.6719999999999999,-0.652
0.3,0.9,-0.712,-0.582,-0.708,-0.698,,,,,-0.712,,-0.716,-0.706
0.4,0.4,-0.42400000000000004,-0.29599999999999993,-0.41800000000000004,-0.4,-0.498,,-0.482,-0.5,-0.42200000000000004,-0.19199999999999995,-0.41200000000000003,-0.364
0.4,0.5,-0.504,-0.372,-0.496,-0.496,-0.494,-0.37599999999999995,-0.488,-0.484,-0.504,-0.356,-0.496,-0.496
0.4,0.6,-0.5680000000000001,-0.416,-0.56,-0.558,-0.56,-0.44999999999999996,-0.5800000000000001,-0.5760000000000001,-0.5680000000000001,-0.466,-0.5660000000000001,-0.56
0.4,0.7,-0.638,-0.49,-0.592,-0.616,,,,,-0.638,,-0.6,-0.622
0.4,0.8,-0.648,-0.534,-0.6579999999999999,-0.6619999999999999,,,,,-0.648,,-0.6679999999999999,-0.6719999999999999
0.4,0.9,-0.744,-0.606,-0.718,-0.718,,,,,-0.744,,-0.726,-0.726
0.5,0.5,-0.496,-0.38999999999999996,-0.496,-0.512,-0.516,,-0.51,-0.544,-0.494,-0.24999999999999994,-0.486,-0.46599999999999997
0.5,0.6,-0.5780000000000001,-0.40599999999999997,-0.5700000000000001,-0.5800000000000001,-0.5820000000000001,,-0.5800000000000001,-0.5680000000000001,-0.5740000000000001,-0.35200000000000004,-0.5640000000000001,-0.562
0.5,0.7,-0.63,-0.49999999999999994,-0.584,-0.6,-0.63,-0.496,-0.592,-0.59,-0.63,-0.49999999999999994,-0.586,-0.6
0.5,0.8,-0.692,-0.548,-0.6839999999999999,-0.6639999999999999,,,,,-0.692,,-0.69,-0.6719999999999999
0.5,0.9,-0.734,-0.594,-0.744,-0.738,,,,,-0.734,,-0.754,-0.748
0.6,0.6,-0.5900000000000001,-0.43999999999999995,-0.5700000000000001,-0.5840000000000001,-0.5920000000000001,,-0.5660000000000001,-0.5720000000000001,-0.5700000000000001,-0.27,-0.53,-0.48600000000000004
0.6,0.7,-0.628,-0.488,-0.598,-0.5740000000000001,-0.604,,-0.6,-0.608,-0.626,-0.4,-0.584,-0.54
0.6,0.8,-0.6659999999999999,-0.55,-0.6699999999999999,-0.6699999999999999,-0.6719999999999999,-0.56,-0.6679999999999999,-0.6779999999999999,-0.6659999999999999,-0.558,-0.6739999999999999,-0.6699999999999999
0.6,0.9,-0.746,-0.6,-0.732,-0.758,,,,,-0.746,,-0.742,-0.768
0.7,0.7,-0.646,-0.514,-0.598,-0.62,-0.644,,-0.63,-0.638,-0.6,-0.24599999999999994,-0.5519999999999999,-0.476
0.7,0.8,-0.654,-0.564,-0.646,-0.6559999999999999,-0.6579999999999999,,-0.636,-0.646,-0.652,-0.45799999999999996,-0.632,-0.6159999999999999
0.7,0.9,-0.75,-0.618,-0.73,-0.722,,,,,-0.75,,-0.738,-0.726
0.8,0.8,-0.704,-0.57,-0.6779999999999999,-0.6819999999999999,-0.6639999999999999,,-0.6659999999999999,-0.6579999999999999,-0.6120000000000001,-0.238,-0.524,-0.434
0.8,0.9,-0.764,-0.6400000000000001,-0.77,-0.754,-0.782,,-0.798,-0.778,-0.764,-0.6400000000000001,-0.752,-0.742
0.9,0.9,-0.796,-0.6559999999999999,-0.78,-0.78,-0.792,,-0.788,-0.784,-0.52,-0.18,-0.44200000000000006,-0.3320000000000001
0.01,0.01,-0.04400000000000004,-0.06600000000000006,-0.030000000000000027,-0.05400000000000005,-0.018000000000000016,0.02199999999999991,-0.02200000000000002,-0.061999999999999944,-0.04400000000000004,-0.07999999999999996,-0.020000000000000018,-0.052000000000000046
0.01,0.02,-0.06599999999999995,-0.05599999999999994,-0.06799999999999995,-0.07199999999999995,,,,,-0.06599999999999995,,-0.07199999999999995,-0.07399999999999995
0.01,0.03,-0.09799999999999998,-0.08200000000000007,-0.11199999999999999,-0.126,,,,,-0.09799999999999998,,-0.11399999999999999,-0.13
0.01,0.04,-0.136,-0.11599999999999999,-0.128,-0.14600000000000002,,,,,-0.136,,-0.132,-0.14800000000000002
0.01,0.05,-0.16400000000000003,-0.07600000000000007,-0.16200000000000003,-0.19599999999999995,,,,,-0.16400000000000003,,-0.16400000000000003,-0.19999999999999996
0.01,0.06,-0.17800000000000005,-0.122,-0.15400000000000003,-0.17800000000000005,,,,,-0.17800000000000005,,-0.15800000000000003,-0.18000000000000005
0.01,0.07,-0.18600000000000005,-0.11199999999999999,-0.18999999999999995,-0.19399999999999995,,,,,-0.18600000000000005,,-0.19199999999999995,-0.19799999999999995
0.01,0.08,-0.252,-0.17599999999999993,-0.22399999999999998,-0.236,,,,,-0.252,,-0.22799999999999998,-0.238
0.01,0.09,-0.23199999999999998,-0.1439999999999999,-0.21799999999999997,-0.238,,,,,-0.23199999999999998,,-0.21999999999999997,-0.242
0.02,0.02,-0.07199999999999995,-0.04799999999999993,-0.06599999999999995,-0.06999999999999995,-0.08199999999999996,-0.04599999999999993,-0.07999999999999996,-0.11399999999999999,-0.07199999999999995,-0.04599999999999993,-0.05999999999999994,-0.06999999999999995
0.02,0.03,-0.11399999999999999,-0.09199999999999997,-0.10399999999999998,-0.136,-0.14,-0.246,-0.18000000000000005,-0.25,-0.11399999999999999,,-0.10599999999999998,-0.138
0.02,0.04,-0.138,-0.10799999999999998,-0.124,-0.14800000000000002,,,,,-0.138,,-0.128,-0.15000000000000002
0.02,0.05,-0.17000000000000004,-0.07399999999999995,-0.16000000000000003,-0.18799999999999994,,,,,-0.17000000000000004,,-0.16200000000000003,-0.19199999999999995
0.02,0.06,-0.18000000000000005,-0.122,-0.15400000000000003,-0.17800000000000005,,,,,-0.18000000000000005,,-0.15800000000000003,-0.18000000000000005
0.02,0.07,-0.19799999999999995,-0.11599999999999999,-0.18999999999999995,-0.19999999999999996,,,,,-0.19799999999999995,,-0.19199999999999995,-0.20399999999999996
0.02,0.08,-0.246,-0.16999999999999993,-0.21599999999999997,-0.244,,,,,-0.246,,-0.21999999999999997,-0.246
0.02,0.09,-0.22799999999999998,-0.1499999999999999,-0.21399999999999997,-0.248,,,,,-0.22799999999999998,,-0.21599999999999997,-0.252
0.03,0.03,-0.11199999999999999,-0.08399999999999996,-0.08799999999999997,-0.136,-0.09799999999999998,-0.04599999999999993,-0.11599999999999999,-0.126,-0.10999999999999999,-0.07999999999999996,-0.08799999999999997,-0.124
0.03,0.04,-0.14600000000000002,-0.128,-0.15000000000000002,-0.16600000000000004,-0.16800000000000004,-0.19199999999999995,-0.19199999999999995,-0.21799999999999997,-0.14600000000000002,,-0.15000000000000002,-0.17000000000000004
0.03,0.05,-0.16200000000000003,-0.07599999999999996,-0.134,-0.18400000000000005,-0.33999999999999997,-0.48999999999999994,-0.4,-0.488,-0.16200000000000003,,-0.138,-0.18400000000000005
0.03,0.06,-0.18200000000000005,-0.122,-0.16400000000000003,-0.18000000000000005,,,,,-0.18200000000000005,,-0.16600000000000004,-0.18400000000000005
0.03,0.07,-0.19399999999999995,-0.138,-0.17600000000000005,-0.21399999999999997,,,,,-0.19399999999999995,,-0.18000000000000005,-0.21599999999999997
0.03,0.08,-0.244,-0.15999999999999992,-0.21199999999999997,-0.238,,,,,-0.244,,-0.21399999999999997,-0.242
0.03,0.09,-0.24,-0.15599999999999992,-0.21799999999999997,-0.248,,,,,-0.24,,-0.22199999999999998,-0.25
0.04,0.04,-0.14800000000000002,-0.10799999999999998,-0.15200000000000002,-0.17000000000000004,-0.136,-0.05999999999999994,-0.14800000000000002,-0.14400000000000002,-0.14800000000000002,-0.09000000000000008,-0.15200000000000002,-0.16600000000000004
0.04,0.05,-0.16000000000000003,-0.08399999999999996,-0.128,-0.18799999999999994,-0.16800000000000004,-0.13,-0.18599999999999994,-0.20999999999999996,-0.16000000000000003,-0.14400000000000002,-0.128,-0.18999999999999995
0.04,0.06,-0.18600000000000005,-0.12,-0.16800000000000004,-0.18399999999999994,-0.18799999999999994,-0.2619999999999999,-0.20799999999999996,-0.272,-0.18600000000000005,,-0.17000000000000004,-0.18799999999999994
0.04,0.07,-0.20799999999999996,-0.1399999999999999,-0.18399999999999994,-0.21399999999999997,,,,,-0.20799999999999996,,-0.18799999999999994,-0.21599999999999997
0.04,0.08,-0.22999999999999998,-0.16199999999999992,-0.21199999999999997,-0.23199999999999998,,,,,-0.22999999999999998,,-0.21399999999999997,-0.236
0.04,0.09,-0.23399999999999999,-0.16599999999999993,-0.21599999999999997,-0.25,,,,,-0.23399999999999999,,-0.21999999999999997,-0.252
0.05,0.05,-0.16400000000000003,-0.07999999999999996,-0.15200000000000002,-0.18599999999999994,-0.15000000000000002,-0.04399999999999993,-0.15000000000000002,-0.16800000000000004,-0.16400000000000003,-0.08999999999999997,-0.14800000000000002,-0.18399999999999994
0.05,0.06,-0.16200000000000003,-0.10199999999999998,-0.15200000000000002,-0.17800000000000005,-0.16800000000000004,-0.19599999999999995,-0.16200000000000003,-0.19999999999999996,-0.16200000000000003,-0.15200000000000002,-0.15000000000000002,-0.17800000000000005
0.05,0.07,-0.20599999999999996,-0.124,-0.19799999999999995,-0.21599999999999997,-0.22799999999999998,-0.248,-0.20399999999999996,-0.254,-0.20599999999999996,,-0.19999999999999996,-0.21799999999999997
0.05,0.08,-0.246,-0.16799999999999993,-0.20999999999999996,-0.236,-0.30000000000000004,-0.43199999999999994,-0.28400000000000003,-0.372,-0.246,,-0.21399999999999997,-0.238
0.05,0.09,-0.22999999999999998,-0.15799999999999992,-0.22199999999999998,-0.24,,,,,-0.22999999999999998,,-0.22399999999999998,-0.244
0.06,0.06,-0.17200000000000004,-0.09999999999999998,-0.14600000000000002,-0.18599999999999994,-0.17800000000000005,-0.10999999999999999,-0.15800000000000003,-0.19199999999999995,-0.17200000000000004,-0.08999999999999997,-0.14400000000000002,-0.17999999999999994
0.06,0.07,-0.19999999999999996,-0.12,-0.19599999999999995,-0.21799999999999997,-0.19799999999999995,-0.10799999999999998,-0.18200000000000005,-0.20799999999999996,-0.19999999999999996,-0.15800000000000003,-0.19399999999999995,-0.21999999999999997
0.06,0.08,-0.25,-0.16599999999999993,-0.20999999999999996,-0.22999999999999998,-0.248,-0.18399999999999994,-0.25,-0.256,-0.25,,-0.21399999999999997,-0.22999999999999998
0.06,0.09,-0.23399999999999999,-0.16199999999999992,-0.22799999999999998,-0.238,-0.236,-0.30399999999999994,-0.26,-0.31799999999999995,-0.23399999999999999,,-0.22999999999999998,-0.242
0.07,0.07,-0.20399999999999996,-0.128,-0.18200000000000005,-0.21999999999999997,-0.18799999999999994,-0.09199999999999997,-0.20999999999999996,-0.20399999999999996,-0.20399999999999996,-0.138,-0.17800000000000005,-0.20399999999999996
0.07,0.08,-0.23399999999999999,-0.1080000000000001,-0.22599999999999998,-0.22799999999999998,-0.25,-0.118,-0.23199999999999998,-0.22399999999999998,-0.23399999999999999,-0.16800000000000004,-0.22799999999999998,-0.22799999999999998
0.07,0.09,-0.264,-0.12,-0.252,-0.25,-0.21399999999999997,-0.17799999999999994,-0.20999999999999996,-0.20999999999999996,-0.264,-0.19800000000000006,-0.254,-0.252
0.08,0.08,-0.22999999999999998,-0.08200000000000007,-0.24,-0.244,-0.246,-0.09599999999999997,-0.242,-0.23399999999999999,-0.22999999999999998,-0.118,-0.23199999999999998,-0.238
0.08,0.09,-0.262,-0.1399999999999999,-0.254,-0.252,-0.256,-0.1459999999999999,-0.25,-0.252,-0.262,-0.17199999999999993,-0.248,-0.244
0.09,0.09,-0.28600000000000003,-0.10399999999999998,-0.262,-0.256,-0.246,-0.07200000000000006,-0.254,-0.248,-0.28600000000000003,-0.1379999999999999,-0.254,-0.25
0.11,0.11,-0.31599999999999995,-0.18399999999999994,-0.30600000000000005,-0.29800000000000004,-0.29600000000000004,-0.118,-0.30400000000000005,-0.30200000000000005,-0.31599999999999995,-0.17599999999999993,-0.29600000000000004,-0.28600000000000003
0.12,0.12,-0.30800000000000005,-0.14,-0.30000000000000004,-0.28200000000000003,-0.32599999999999996,-0.128,-0.32399999999999995,-0.33199999999999996,-0.30800000000000005,-0.17000000000000004,-0.29000000000000004,-0.276
0.13,0.13,-0.29400000000000004,-0.1459999999999999,-0.32199999999999995,-0.30200000000000005,-0.30800000000000005,-0.16999999999999993,-0.29400000000000004,-0.31799999999999995,-0.29400000000000004,-0.13,-0.31399999999999995,-0.29000000000000004
0.14,0.14,-0.32399999999999995,-0.132,-0.34199999999999997,-0.32399999999999995,-0.354,-0.17600000000000005,-0.32999999999999996,-0.34199999999999997,-0.32399999999999995,-0.15800000000000003,-0.33199999999999996,-0.31799999999999995
0.15,0.15,-0.346,-0.16599999999999993,-0.31799999999999995,-0.29600000000000004,-0.33799999999999997,-0.20199999999999996,-0.33599999999999997,-0.352,-0.34199999999999997,-0.16399999999999992,-0.31599999999999995,-0.28
0.16,0.16,-0.356,-0.14200000000000002,-0.33199999999999996,-0.31799999999999995,-0.352,-0.14800000000000002,-0.35,-0.32199999999999995,-0.356,-0.15200000000000002,-0.31799999999999995,-0.30399999999999994
0.17,0.17,-0.356,-0.20199999999999996,-0.354,-0.354,-0.32199999999999995,-0.19799999999999995,-0.356,-0.354,-0.356,-0.18400000000000005,-0.344,-0.346
0.18,0.18,-0.376,-0.20400000000000007,-0.372,-0.366,-0.36,-0.138,-0.36,-0.37,-0.374,-0.2240000000000001,-0.356,-0.356
0.19,0.19,-0.384,-0.22799999999999998,-0.374,-0.356,-0.33999999999999997,-0.18399999999999994,-0.33999999999999997,-0.32599999999999996,-0.38,-0.17200000000000004,-0.364,-0.33999999999999997
0.21,0.21,-0.386,-0.21999999999999997,-0.38,-0.358,-0.376,-0.14400000000000002,-0.384,-0.378,-0.386,-0.2599999999999999,-0.374,-0.344
0.22,0.22,-0.376,-0.21999999999999997,-0.38,-0.37,-0.384,-0.22399999999999998,-0.348,-0.354,-0.374,-0.236,-0.372,-0.35
0.23,0.23,-0.394,-0.21999999999999997,-0.392,-0.384,-0.362,-0.18000000000000005,-0.368,-0.376,-0.39,-0.244,-0.382,-0.366
0.24,0.24,-0.398,-0.21999999999999997,-0.388,-0.384,-0.384,-0.23199999999999998,-0.376,-0.374,-0.398,-0.14200000000000002,-0.378,-0.36
0.25,0.25,-0.404,-0.246,-0.41600000000000004,-0.41000000000000003,-0.358,-0.17800000000000005,-0.352,-0.358,-0.404,-0.18999999999999995,-0.404,-0.392
0.26,0.26,-0.41400000000000003,-0.2559999999999999,-0.40800000000000003,-0.41200000000000003,-0.42000000000000004,-0.22399999999999998,-0.4,-0.39,-0.41400000000000003,-0.17799999999999994,-0.396,-0.382
