m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.05,0.07,0.5,2.2500450006750095e-10,0.998,0.682,0.978,0.962
0.05,0.08,0.5,2.2500450006750095e-10,0.996,0.702,0.974,0.966
0.05,0.09,0.5,2.2500450006750095e-10,0.998,0.68,0.978,0.962
0.06,0.06,0.5,2.2500450006750095e-10,0.996,0.704,0.974,0.966
0.06,0.07,0.5,2.2500450006750095e-10,0.998,0.682,0.978,0.962
0.06,0.08,0.5,2.2500450006750095e-10,0.996,0.702,0.974,0.966
0.06,0.09,0.5,2.2500450006750095e-10,0.998,0.682,0.978,0.962
0.07,0.07,0.5,2.2500450006750095e-10,0.996,0.7,0.974,0.966
0.07,0.08,0.5,2.2500450006750095e-10,0.996,0.674,0.972,0.956
0.07,0.09,0.5,2.2500450006750095e-10,0.992,0.734,0.966,0.95
0.08,0.08,0.5,2.2500450006750095e-10,0.99,0.674,0.974,0.95
0.08,0.09,0.5,2.2500450006750095e-10,0.992,0.734,0.966,0.948
0.09,0.09,0.5,2.2500450006750095e-10,0.99,0.674,0.974,0.95
0.11,0.11,0.5,2.2500450006750095e-10,0.992,0.736,0.966,0.948
0.12,0.12,0.5,2.2500450006750095e-10,0.99,0.672,0.976,0.95
0.13,0.13,0.5,2.2500450006750095e-10,0.992,0.734,0.964,0.95
0.14,0.14,0.5,2.2500450006750095e-10,0.99,0.674,0.976,0.948
0.15,0.15,0.5,2.2500450006750095e-10,0.992,0.732,0.964,0.95
0.16,0.16,0.5,2.2500450006750095e-10,0.99,0.674,0.976,0.95
0.17,0.17,0.5,2.2500450006750095e-10,0.992,0.732,0.964,0.95
0.18,0.18,0.5,2.2500450006750095e-10,0.99,0.674,0.976,0.948
0.19,0.19,0.5,2.2500450006750095e-10,0.992,0.732,0.964,0.95
0.21,0.21,0.5,2.2500450006750095e-10,0.99,0.676,0.976,0.948
0.22,0.22,0.5,2.2500450006750095e-10,0.992,0.73,0.964,0.95
0.23,0.23,0.5,2.2500450006750095e-10,0.99,0.678,0.976,0.948
0.24,0.24,0.5,2.2500450006750095e-10,0.992,0.728,0.964,0.95
0.25,0.25,0.5,2.2500450006750095e-10,0.99,0.682,0.976,0.948
0.26,0.26,0.5,2.2500450006750095e-10,0.992,0.724,0.964,0.95
0.27,0.27,0.5,2.2500450006750095e-10,0.99,0.686,0.976,0.948
0.28,0.28,0.5,2.2500450006750095e-10,0.992,0.72,0.964,0.95
0.29,0.29,0.5,2.2500450006750095e-10,0.99,0.688,0.976,0.948
0.31,0.31,0.5,2.2500450006750095e-10,0.992,0.718,0.966,0.95
0.32,0.32,0.5,2.2500450006750095e-10,0.99,0.69,0.974,0.948
0.33,0.33,0.5,2.2500450006750095e-10,0.992,0.716,0.966,0.95
0.34,0.34,0.5,2.2500450006750095e-10,0.99,0.69,0.974,0.948
0.35,0.35,0.5,2.2500450006750095e-10,0.992,0.716,0.966,0.95
0.36,0.36,0.5,2.2500450006750095e-10,0.99,0.69,0.974,0.948
0.37,0.37,0.5,2.2500450006750095e-10,0.992,0.716,0.966,0.952
0.38,0.38,0.5,2.2500450006750095e-10,0.99,0.69,0.974,0.946
0.39,0.39,0.5,2.2500450006750095e-10,0.992,0.718,0.966,0.954
0.41,0.41,0.5,2.2500450006750095e-10,0.99,0.688,0.974,0.944
0.42,0.42,0.5,2.2500450006750095e-10,0.992,0.722,0.966,0.956
0.43,0.43,0.5,2.2500450006750095e-10,0.99,0.686,0.974,0.942
0.44,0.44,0.5,2.2500450006750095e-10,0.992,0.722,0.966,0.956
0.45,0.45,0.5,2.2500450006750095e-10,0.99,0.688,0.974,0.942
0.46,0.46,0.5,2.2500450006750095e-10,0.992,0.718,0.966,0.956
0.47,0.47,0.5,2.2500450006750095e-10,0.99,0.69,0.974,0.942
0.48,0.48,0.5,2.2500450006750095e-10,0.992,0.716,0.966,0.956
0.49,0.49,0.5,2.2500450006750095e-10,0.994,0.71,0.974,0.956
0.51,0.51,0.5,2.2500450006750095e-10,0.996,0.744,0.966,0.944
0.52,0.52,0.5,2.2500450006750095e-10,0.998,0.74,0.968,0.96
0.53,0.53,0.5,2.2500450006750095e-10,0.996,0.748,0.966,0.944
0.54,0.54,0.5,2.2500450006750095e-10,0.998,0.736,0.968,0.96
0.55,0.55,0.5,2.2500450006750095e-10,0.996,0.75,0.966,0.944
0.56,0.56,0.5,2.2500450006750095e-10,0.998,0.734,0.968,0.96
0.57,0.57,0.5,2.2500450006750095e-10,0.996,0.75,0.966,0.944
0.58,0.58,0.5,2.2500450006750095e-10,0.998,0.734,0.97,0.96
0.59,0.59,0.5,2.2500450006750095e-10,0.996,0.75,0.964,0.944
0.61,0.61,0.5,2.2500450006750095e-10,0.998,0.736,0.97,0.96
0.62,0.62,0.5,2.2500450006750095e-10,0.996,0.752,0.964,0.944
0.63,0.63,0.5,2.2500450006750095e-10,0.998,0.732,0.97,0.96
0.64,0.64,0.5,2.2500450006750095e-10,0.996,0.752,0.964,0.944
0.65,0.65,0.5,2.2500450006750095e-10,0.998,0.736,0.97,0.96
0.66,0.66,0.5,2.2500450006750095e-10,0.996,0.748,0.964,0.944
0.67,0.67,0.5,2.2500450006750095e-10,0.998,0.738,0.97,0.96
0.68,0.68,0.5,2.2500450006750095e-10,0.996,0.748,0.964,0.944
