m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.256,,-0.278,-0.246,-0.256,,-0.27,-0.248,-0.256,,-0.274,-0.238
0.1,0.2,-0.354,,-0.352,-0.33199999999999996,,,,,-0.354,,-0.352,-0.33199999999999996
0.1,0.3,-0.41000000000000003,,-0.382,-0.42000000000000004,,,,,-0.41000000000000003,,-0.382,-0.42000000000000004
0.1,0.4,-0.472,,-0.486,-0.482,,,,,-0.472,,-0.486,-0.482
0.1,0.5,-0.5,,-0.522,-0.526,,,,,-0.5,,-0.522,-0.526
0.1,0.6,-0.562,,-0.5680000000000001,-0.5700000000000001,,,,,-0.562,,-0.5680000000000001,-0.5700000000000001
0.1,0.7,-0.5840000000000001,,-0.5920000000000001,-0.5880000000000001,,,,,-0.5840000000000001,,-0.5920000000000001,-0.5880000000000001
0.1,0.8,-0.64,,-0.654,-0.6579999999999999,,,,,-0.64,,-0.654,-0.6579999999999999
0.1,0.9,-0.732,,-0.722,-0.732,,,,,-0.732,,-0.722,-0.732
0.2,0.2,-0.362,,-0.354,-0.348,-0.358,,-0.362,-0.358,-0.362,,-0.352,-0.33799999999999997
0.2,0.3,-0.4,,-0.392,-0.41800000000000004,-0.356,,-0.368,-0.358,-0.4,,-0.392,-0.41800000000000004
0.2,0.4,-0.482,,-0.482,-0.492,,,,,-0.482,,-0.482,-0.492
0.2,0.5,-0.514,,-0.526,-0.532,,,,,-0.514,,-0.526,-0.532
0.2,0.6,-0.5800000000000001,,-0.5740000000000001,-0.5760000000000001,,,,,-0.5800000000000001,,-0.5740000000000001,-0.5760000000000001
0.2,0.7,-0.5860000000000001,,-0.604,-0.5900000000000001,,,,,-0.5860000000000001,,-0.604,-0.5900000000000001
0.2,0.8,-0.644,,-0.6639999999999999,-0.65,,,,,-0.644,,-0.6639999999999999,-0.65
0.2,0.9,-0.728,,-0.74,-0.746,,,,,-0.728,,-0.74,-0.746
0.3,0.3,-0.43999999999999995,,-0.41800000000000004,-0.43799999999999994,-0.42000000000000004,,-0.402,-0.42400000000000004,-0.43999999999999995,,-0.41600000000000004,-0.42399999999999993
0.3,0.4,-0.48,,-0.48,-0.488,-0.406,,-0.404,-0.39,-0.48,,-0.48,-0.486
0.3,0.5,-0.538,,-0.542,-0.534,-0.512,,-0.506,-0.516,-0.538,,-0.542,-0.534
0.3,0.6,-0.5800000000000001,,-0.5840000000000001,-0.5820000000000001,,,,,-0.5800000000000001,,-0.5840000000000001,-0.5820000000000001
0.3,0.7,-0.602,,-0.612,-0.604,,,,,-0.602,,-0.612,-0.604
0.3,0.8,-0.652,,-0.6679999999999999,-0.6579999999999999,,,,,-0.652,,-0.6679999999999999,-0.6579999999999999
0.3,0.9,-0.736,,-0.75,-0.75,,,,,-0.736,,-0.75,-0.75
