m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.05,0.07,0.25,2.2500450006750095e-10,0.742,0.488,0.778,0.706
0.05,0.08,0.25,2.2500450006750095e-10,0.72,0.476,0.742,0.668
0.05,0.09,0.25,2.2500450006750095e-10,0.726,0.47,0.742,0.69
0.06,0.06,0.25,2.2500450006750095e-10,0.776,0.498,0.802,0.73
0.06,0.07,0.25,2.2500450006750095e-10,0.742,0.492,0.776,0.712
0.06,0.08,0.25,2.2500450006750095e-10,0.738,0.472,0.744,0.672
0.06,0.09,0.25,2.2500450006750095e-10,0.728,0.474,0.74,0.696
0.07,0.07,0.25,2.2500450006750095e-10,0.736,0.492,0.784,0.7
0.07,0.08,0.25,2.2500450006750095e-10,0.738,0.482,0.728,0.702
0.07,0.09,0.25,2.2500450006750095e-10,0.718,0.514,0.686,0.732
0.08,0.08,0.25,2.2500450006750095e-10,0.742,0.47,0.724,0.716
0.08,0.09,0.25,2.2500450006750095e-10,0.718,0.514,0.678,0.726
0.09,0.09,0.25,2.2500450006750095e-10,0.71,0.476,0.666,0.728
0.11,0.11,0.25,2.2500450006750095e-10,0.676,0.478,0.67,0.69
0.12,0.12,0.25,2.2500450006750095e-10,0.658,0.456,0.668,0.664
0.13,0.13,0.25,2.2500450006750095e-10,0.668,0.454,0.658,0.682
0.14,0.14,0.25,2.2500450006750095e-10,0.658,0.458,0.62,0.65
0.15,0.15,0.25,2.2500450006750095e-10,0.632,0.454,0.628,0.686
0.16,0.16,0.25,2.2500450006750095e-10,0.628,0.446,0.626,0.634
0.17,0.17,0.25,2.2500450006750095e-10,0.604,0.444,0.624,0.646
0.18,0.18,0.25,2.2500450006750095e-10,0.616,0.424,0.582,0.616
0.19,0.19,0.25,2.2500450006750095e-10,0.594,0.406,0.594,0.62
0.21,0.21,0.25,2.2500450006750095e-10,0.612,0.434,0.57,0.6
0.22,0.22,0.25,2.2500450006750095e-10,0.612,0.428,0.576,0.596
0.23,0.23,0.25,2.2500450006750095e-10,0.586,0.398,0.574,0.574
0.24,0.24,0.25,2.2500450006750095e-10,0.586,0.41,0.578,0.58
0.25,0.25,0.25,2.2500450006750095e-10,0.558,0.398,0.538,0.528
0.26,0.26,0.25,2.2500450006750095e-10,0.572,0.394,0.546,0.562
0.27,0.27,0.25,2.2500450006750095e-10,0.58,0.412,0.534,0.53
0.28,0.28,0.25,2.2500450006750095e-10,0.574,0.376,0.516,0.548
0.29,0.29,0.25,2.2500450006750095e-10,0.554,0.376,0.506,0.52
0.31,0.31,0.25,2.2500450006750095e-10,0.552,0.36,0.51,0.526
0.32,0.32,0.25,2.2500450006750095e-10,0.542,0.354,0.498,0.506
0.33,0.33,0.25,2.2500450006750095e-10,0.568,0.384,0.504,0.54
0.34,0.34,0.25,2.2500450006750095e-10,0.552,0.366,0.492,0.524
0.35,0.35,0.25,2.2500450006750095e-10,0.562,0.388,0.498,0.532
0.36,0.36,0.25,2.2500450006750095e-10,0.56,0.364,0.508,0.488
0.37,0.37,0.25,2.2500450006750095e-10,0.552,0.352,0.502,0.52
0.38,0.38,0.25,2.2500450006750095e-10,0.542,0.368,0.486,0.476
0.39,0.39,0.25,2.2500450006750095e-10,0.516,0.364,0.5,0.516
0.41,0.41,0.25,2.2500450006750095e-10,0.506,0.372,0.496,0.47
0.42,0.42,0.25,2.2500450006750095e-10,0.518,0.358,0.486,0.48
0.43,0.43,0.25,2.2500450006750095e-10,0.514,0.344,0.462,0.442
0.44,0.44,0.25,2.2500450006750095e-10,0.508,0.346,0.458,0.496
0.45,0.45,0.25,2.2500450006750095e-10,0.492,0.34,0.456,0.46
0.46,0.46,0.25,2.2500450006750095e-10,0.5,0.34,0.452,0.492
0.47,0.47,0.25,2.2500450006750095e-10,0.48,0.34,0.444,0.446
0.48,0.48,0.25,2.2500450006750095e-10,0.498,0.342,0.462,0.474
0.49,0.49,0.25,2.2500450006750095e-10,0.484,0.328,0.448,0.444
0.51,0.51,0.25,2.2500450006750095e-10,0.452,0.294,0.442,0.482
0.52,0.52,0.25,2.2500450006750095e-10,0.424,0.31,0.418,0.42
0.53,0.53,0.25,2.2500450006750095e-10,0.472,0.32,0.448,0.458
0.54,0.54,0.25,2.2500450006750095e-10,0.432,0.328,0.458,0.406
0.55,0.55,0.25,2.2500450006750095e-10,0.394,0.3,0.408,0.378
0.56,0.56,0.25,2.2500450006750095e-10,0.428,0.324,0.436,0.398
0.57,0.57,0.25,2.2500450006750095e-10,0.4,0.29,0.394,0.378
0.58,0.58,0.25,2.2500450006750095e-10,0.428,0.298,0.432,0.404
0.59,0.59,0.25,2.2500450006750095e-10,0.416,0.272,0.398,0.364
0.61,0.61,0.25,2.2500450006750095e-10,0.412,0.298,0.394,0.402
0.62,0.62,0.25,2.2500450006750095e-10,0.37,0.258,0.396,0.358
0.63,0.63,0.25,2.2500450006750095e-10,0.382,0.272,0.396,0.4
0.64,0.64,0.25,2.2500450006750095e-10,0.36,0.272,0.394,0.344
0.65,0.65,0.25,2.2500450006750095e-10,0.392,0.282,0.386,0.366
0.66,0.66,0.25,2.2500450006750095e-10,0.338,0.256,0.358,0.338
0.67,0.67,0.25,2.2500450006750095e-10,0.376,0.282,0.372,0.364
0.68,0.68,0.25,2.2500450006750095e-10,0.34,0.25,0.336,0.344
0.69,0.69,0.25,2.2500450006750095e-10,0.376,0.254,0.366,0.33
0.71,0.71,0.25,2.2500450006750095e-10,0.346,0.25,0.342,0.322
0.72,0.72,0.25,2.2500450006750095e-10,0.342,0.24,0.352,0.328
0.73,0.73,0.25,2.2500450006750095e-10,0.356,0.242,0.32,0.306
0.74,0.74,0.25,2.2500450006750095e-10,0.376,0.214,0.338,0.36
0.75,0.75,0.25,2.2500450006750095e-10,0.342,0.226,0.33,0.298
0.76,0.76,0.25,2.2500450006750095e-10,0.352,0.218,0.318,0.318
0.77,0.77,0.25,2.2500450006750095e-10,0.312,0.224,0.31,0.3
0.78,0.78,0.25,2.2500450006750095e-10,0.32,0.2,0.32,0.282
0.79,0.79,0.25,2.2500450006750095e-10,0.286,0.21,0.294,0.262
0.81,0.81,0.25,2.2500450006750095e-10,0.272,0.192,0.29,0.232
0.82,0.82,0.25,2.2500450006750095e-10,0.272,0.208,0.286,0.222
0.83,0.83,0.25,2.2500450006750095e-10,0.27,0.184,0.272,0.222
0.84,0.84,0.25,2.2500450006750095e-10,0.258,0.19,0.266,0.232
0.85,0.85,0.25,2.2500450006750095e-10,0.24,0.166,0.244,0.214
0.86,0.86,0.25,2.2500450006750095e-10,0.252,0.166,0.246,0.242
0.87,0.87,0.25,2.2500450006750095e-10,0.254,0.15,0.22,0.192
0.88,0.88,0.25,2.2500450006750095e-10,0.248,0.15,0.226,0.2
0.89,0.89,0.25,2.2500450006750095e-10,0.232,0.13,0.21,0.156
0.91,0.91,0.25,2.2500450006750095e-10,0.21,0.116,0.186,0.154
0.92,0.92,0.25,2.2500450006750095e-10,0.174,0.132,0.186,0.124
0.93,0.93,0.25,2.2500450006750095e-10,0.158,0.112,0.164,0.13
0.94,0.94,0.25,2.2500450006750095e-10,0.172,0.106,0.13,0.12
0.95,0.95,0.25,2.2500450006750095e-10,0.142,0.098,0.132,0.12
0.96,0.96,0.25,2.2500450006750095e-10,0.122,0.072,0.092,0.112
0.97,0.97,0.25,2.2500450006750095e-10,0.144,0.08,0.058,0.082
0.98,0.98,0.25,2.2500450006750095e-10,0.066,0.05,0.052,0.052
0.99,0.99,0.25,2.2500450006750095e-10,0.05,0.022,0.018,0.012
