m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,1.0,2.2500450006750095e-10,0.744,,0.722,0.754
0.1,0.2,1.0,2.2500450006750095e-10,0.646,,0.648,0.668
0.1,0.3,1.0,2.2500450006750095e-10,0.59,,0.618,0.58
0.1,0.4,1.0,2.2500450006750095e-10,0.528,,0.514,0.518
0.1,0.5,1.0,2.2500450006750095e-10,0.5,,0.478,0.474
0.1,0.6,1.0,2.2500450006750095e-10,0.438,,0.432,0.43
0.1,0.7,1.0,2.2500450006750095e-10,0.416,,0.408,0.412
0.1,0.8,1.0,2.2500450006750095e-10,0.36,,0.346,0.342
0.1,0.9,1.0,2.2500450006750095e-10,0.268,,0.278,0.268
0.2,0.2,1.0,2.2500450006750095e-10,0.638,,0.646,0.652
0.2,0.3,1.0,2.2500450006750095e-10,0.6,,0.608,0.582
0.2,0.4,1.0,2.2500450006750095e-10,0.518,,0.518,0.508
0.2,0.5,1.0,2.2500450006750095e-10,0.486,,0.474,0.468
0.2,0.6,1.0,2.2500450006750095e-10,0.42,,0.426,0.424
0.2,0.7,1.0,2.2500450006750095e-10,0.414,,0.396,0.41
0.2,0.8,1.0,2.2500450006750095e-10,0.356,,0.336,0.35
0.2,0.9,1.0,2.2500450006750095e-10,0.272,,0.26,0.254
0.3,0.3,1.0,2.2500450006750095e-10,0.56,,0.582,0.562
0.3,0.4,1.0,2.2500450006750095e-10,0.52,,0.52,0.512
0.3,0.5,1.0,2.2500450006750095e-10,0.462,,0.458,0.466
0.3,0.6,1.0,2.2500450006750095e-10,0.42,,0.416,0.418
0.3,0.7,1.0,2.2500450006750095e-10,0.398,,0.388,0.396
0.3,0.8,1.0,2.2500450006750095e-10,0.348,,0.332,0.342
0.3,0.9,1.0,2.2500450006750095e-10,0.264,,0.25,0.25
0.4,0.4,1.0,2.2500450006750095e-10,0.51,,0.522,0.498
0.4,0.5,1.0,2.2500450006750095e-10,0.458,,0.46,0.452
0.4,0.6,1.0,2.2500450006750095e-10,0.412,,0.418,0.416
0.4,0.7,1.0,2.2500450006750095e-10,0.384,,0.372,0.386
0.4,0.8,1.0,2.2500450006750095e-10,0.35,,0.352,0.348
0.4,0.9,1.0,2.2500450006750095e-10,0.266,,0.26,0.252
0.5,0.5,1.0,2.2500450006750095e-10,0.494,,0.486,0.458
0.5,0.6,1.0,2.2500450006750095e-10,0.418,,0.412,0.424
0.5,0.7,1.0,2.2500450006750095e-10,0.384,,0.364,0.372
0.5,0.8,1.0,2.2500450006750095e-10,0.356,,0.34,0.338
0.5,0.9,1.0,2.2500450006750095e-10,0.28,,0.258,0.266
0.6,0.6,1.0,2.2500450006750095e-10,0.396,,0.404,0.408
0.6,0.7,1.0,2.2500450006750095e-10,0.394,,0.39,0.374
0.6,0.8,1.0,2.2500450006750095e-10,0.346,,0.35,0.344
0.6,0.9,1.0,2.2500450006750095e-10,0.266,,0.238,0.258
0.7,0.7,1.0,2.2500450006750095e-10,0.366,,0.364,0.344
0.7,0.8,1.0,2.2500450006750095e-10,0.338,,0.358,0.35
0.7,0.9,1.0,2.2500450006750095e-10,0.238,,0.224,0.22
0.8,0.8,1.0,2.2500450006750095e-10,0.348,,0.346,0.348
0.8,0.9,1.0,2.2500450006750095e-10,0.252,,0.242,0.236
0.9,0.9,1.0,2.2500450006750095e-10,0.258,,0.258,0.254
0.01,0.01,1.0,2.2500450006750095e-10,0.97,,0.966,0.952
0.01,0.02,1.0,2.2500450006750095e-10,0.924,,0.918,0.908
0.01,0.03,1.0,2.2500450006750095e-10,0.896,,0.89,0.874
0.01,0.04,1.0,2.2500450006750095e-10,0.87,,0.856,0.86
0.01,0.05,1.0,2.2500450006750095e-10,0.858,,0.852,0.854
0.01,0.06,1.0,2.2500450006750095e-10,0.804,,0.802,0.776
0.01,0.07,1.0,2.2500450006750095e-10,0.816,,0.808,0.808
0.01,0.08,1.0,2.2500450006750095e-10,0.782,,0.772,0.774
0.01,0.09,1.0,2.2500450006750095e-10,0.792,,0.782,0.792
0.02,0.02,1.0,2.2500450006750095e-10,0.918,,0.92,0.906
0.02,0.03,1.0,2.2500450006750095e-10,0.906,,0.876,0.872
0.02,0.04,1.0,2.2500450006750095e-10,0.862,,0.858,0.858
0.02,0.05,1.0,2.2500450006750095e-10,0.854,,0.852,0.858
0.02,0.06,1.0,2.2500450006750095e-10,0.802,,0.798,0.774
0.02,0.07,1.0,2.2500450006750095e-10,0.828,,0.808,0.816
0.02,0.08,1.0,2.2500450006750095e-10,0.79,,0.766,0.774
0.02,0.09,1.0,2.2500450006750095e-10,0.792,,0.792,0.796
0.03,0.03,1.0,2.2500450006750095e-10,0.892,,0.862,0.846
0.03,0.04,1.0,2.2500450006750095e-10,0.86,,0.852,0.866
0.03,0.05,1.0,2.2500450006750095e-10,0.84,,0.842,0.836
0.03,0.06,1.0,2.2500450006750095e-10,0.806,,0.81,0.804
0.03,0.07,1.0,2.2500450006750095e-10,0.794,,0.79,0.786
0.03,0.08,1.0,2.2500450006750095e-10,0.796,,0.774,0.806
0.03,0.09,1.0,2.2500450006750095e-10,0.768,,0.774,0.776
0.04,0.04,1.0,2.2500450006750095e-10,0.86,,0.86,0.868
0.04,0.05,1.0,2.2500450006750095e-10,0.836,,0.842,0.83
0.04,0.06,1.0,2.2500450006750095e-10,0.798,,0.804,0.802
0.04,0.07,1.0,2.2500450006750095e-10,0.792,,0.79,0.79
0.04,0.08,1.0,2.2500450006750095e-10,0.792,,0.776,0.796
0.04,0.09,1.0,2.2500450006750095e-10,0.768,,0.774,0.766
0.05,0.05,1.0,2.2500450006750095e-10,0.852,,0.854,0.85
0.05,0.06,1.0,2.2500450006750095e-10,0.772,,0.792,0.778
0.05,0.07,1.0,2.2500450006750095e-10,0.82,,0.794,0.808
0.05,0.08,1.0,2.2500450006750095e-10,0.792,,0.786,0.792
0.05,0.09,1.0,2.2500450006750095e-10,0.782,,0.776,0.782
0.06,0.06,1.0,2.2500450006750095e-10,0.776,,0.794,0.77
0.06,0.07,1.0,2.2500450006750095e-10,0.818,,0.802,0.806
0.06,0.08,1.0,2.2500450006750095e-10,0.784,,0.782,0.786
0.06,0.09,1.0,2.2500450006750095e-10,0.796,,0.778,0.788
0.07,0.07,1.0,2.2500450006750095e-10,0.79,,0.786,0.792
0.07,0.08,1.0,2.2500450006750095e-10,0.778,,0.768,0.778
0.07,0.09,1.0,2.2500450006750095e-10,0.77,,0.754,0.762
0.08,0.08,1.0,2.2500450006750095e-10,0.754,,0.748,0.772
0.08,0.09,1.0,2.2500450006750095e-10,0.766,,0.74,0.752
0.09,0.09,1.0,2.2500450006750095e-10,0.774,,0.752,0.768
0.11,0.11,1.0,2.2500450006750095e-10,0.728,,0.712,0.688
0.12,0.12,1.0,2.2500450006750095e-10,0.702,,0.698,0.708
0.13,0.13,1.0,2.2500450006750095e-10,0.69,,0.69,0.684
0.14,0.14,1.0,2.2500450006750095e-10,0.658,,0.662,0.668
0.15,0.15,1.0,2.2500450006750095e-10,0.68,,0.676,0.688
0.16,0.16,1.0,2.2500450006750095e-10,0.654,,0.648,0.654
0.17,0.17,1.0,2.2500450006750095e-10,0.666,,0.638,0.66
