m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.07,0.07,2.0,2.2500450006750095e-10,0.792,,0.79,0.786
0.07,0.08,2.0,2.2500450006750095e-10,0.778,,0.774,0.784
0.07,0.09,2.0,2.2500450006750095e-10,0.77,,0.76,0.758
0.08,0.08,2.0,2.2500450006750095e-10,0.77,,0.764,0.772
0.08,0.09,2.0,2.2500450006750095e-10,0.762,,0.75,0.756
0.09,0.09,2.0,2.2500450006750095e-10,0.784,,0.768,0.778
0.11,0.11,2.0,2.2500450006750095e-10,0.718,,0.708,0.7
0.12,0.12,2.0,2.2500450006750095e-10,0.71,,0.7,0.704
0.13,0.13,2.0,2.2500450006750095e-10,0.686,,0.688,0.69
0.14,0.14,2.0,2.2500450006750095e-10,0.662,,0.672,0.684
0.15,0.15,2.0,2.2500450006750095e-10,0.672,,0.676,0.69
0.16,0.16,2.0,2.2500450006750095e-10,0.652,,0.646,0.668
0.17,0.17,2.0,2.2500450006750095e-10,0.662,,0.652,0.664
0.18,0.18,2.0,2.2500450006750095e-10,0.638,,0.634,0.644
0.19,0.19,2.0,2.2500450006750095e-10,0.654,,0.646,0.648
0.21,0.21,2.0,2.2500450006750095e-10,0.604,,0.602,0.6
0.22,0.22,2.0,2.2500450006750095e-10,0.612,,0.604,0.608
0.23,0.23,2.0,2.2500450006750095e-10,0.598,,0.58,0.602
0.24,0.24,2.0,2.2500450006750095e-10,0.568,,0.578,0.574
0.25,0.25,2.0,2.2500450006750095e-10,0.582,,0.576,0.592
0.26,0.26,2.0,2.2500450006750095e-10,0.55,,0.538,0.544
0.27,0.27,2.0,2.2500450006750095e-10,0.542,,0.526,0.546
0.28,0.28,2.0,2.2500450006750095e-10,0.544,,0.542,0.56
0.29,0.29,2.0,2.2500450006750095e-10,0.546,,0.55,0.552
0.31,0.31,2.0,2.2500450006750095e-10,0.526,,0.526,0.536
0.32,0.32,2.0,2.2500450006750095e-10,0.544,,0.546,0.542
0.33,0.33,2.0,2.2500450006750095e-10,0.536,,0.522,0.52
0.34,0.34,2.0,2.2500450006750095e-10,0.528,,0.536,0.52
0.35,0.35,2.0,2.2500450006750095e-10,0.504,,0.506,0.524
0.36,0.36,2.0,2.2500450006750095e-10,0.514,,0.508,0.514
0.37,0.37,2.0,2.2500450006750095e-10,0.488,,0.484,0.476
0.38,0.38,2.0,2.2500450006750095e-10,0.496,,0.508,0.488
0.39,0.39,2.0,2.2500450006750095e-10,0.488,,0.504,0.512
0.41,0.41,2.0,2.2500450006750095e-10,0.506,,0.506,0.502
0.42,0.42,2.0,2.2500450006750095e-10,0.492,,0.484,0.496
0.43,0.43,2.0,2.2500450006750095e-10,0.506,,0.49,0.498
0.44,0.44,2.0,2.2500450006750095e-10,0.456,,0.452,0.454
0.45,0.45,2.0,2.2500450006750095e-10,0.466,,0.47,0.462
0.46,0.46,2.0,2.2500450006750095e-10,0.418,,0.436,0.42
0.47,0.47,2.0,2.2500450006750095e-10,0.454,,0.458,0.452
0.48,0.48,2.0,2.2500450006750095e-10,0.396,,0.4,0.41
0.49,0.49,2.0,2.2500450006750095e-10,0.452,,0.45,0.44
0.51,0.51,2.0,2.2500450006750095e-10,0.414,,0.416,0.416
0.52,0.52,2.0,2.2500450006750095e-10,0.508,,0.514,0.506
0.53,0.53,2.0,2.2500450006750095e-10,0.454,,0.466,0.462
0.54,0.54,2.0,2.2500450006750095e-10,0.442,,0.444,0.45
0.55,0.55,2.0,2.2500450006750095e-10,0.45,,0.46,0.45
0.56,0.56,2.0,2.2500450006750095e-10,0.466,,0.476,0.476
0.57,0.57,2.0,2.2500450006750095e-10,0.446,,0.446,0.444
0.58,0.58,2.0,2.2500450006750095e-10,0.462,,0.468,0.47
0.59,0.59,2.0,2.2500450006750095e-10,0.424,,0.426,0.432
0.61,0.61,2.0,2.2500450006750095e-10,0.454,,0.458,0.474
0.62,0.62,2.0,2.2500450006750095e-10,0.43,,0.434,0.44
0.63,0.63,2.0,2.2500450006750095e-10,0.42,,0.422,0.444
0.64,0.64,2.0,2.2500450006750095e-10,0.43,,0.434,0.436
0.65,0.65,2.0,2.2500450006750095e-10,0.428,,0.438,0.454
0.66,0.66,2.0,2.2500450006750095e-10,0.422,,0.412,0.426
0.67,0.67,2.0,2.2500450006750095e-10,0.432,,0.424,0.442
0.68,0.68,2.0,2.2500450006750095e-10,0.432,,0.426,0.448
0.69,0.69,2.0,2.2500450006750095e-10,0.408,,0.402,0.408
0.71,0.71,2.0,2.2500450006750095e-10,0.396,,0.394,0.42
0.72,0.72,2.0,2.2500450006750095e-10,0.398,,0.394,0.406
0.73,0.73,2.0,2.2500450006750095e-10,0.374,,0.39,0.384
0.74,0.74,2.0,2.2500450006750095e-10,0.378,,0.39,0.388
0.75,0.75,2.0,2.2500450006750095e-10,0.382,,0.378,0.38
0.76,0.76,2.0,2.2500450006750095e-10,0.37,,0.354,0.368
0.77,0.77,2.0,2.2500450006750095e-10,0.342,,0.332,0.336
